Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,QBR Rank,QBR,Pass,Yards,EYds Rank,EYds,TD,FK,FL,INT,C%,DPI,ALEX Rank,ALEX
P. Mahomes,KC,1,1720,2,1651,2,31.7%,2,30.0%,2,82.9,609,4593,1,5575,38,1,2,6,66.4%,4/56,3,3.0
A. Rodgers,GB,2,1649,1,1766,1,33.7%,1,36.9%,1,84.4,543,4104,3,5204,48,0,1,5,71.3%,9/159,1,4.8
T. Brady,TB,3,1518,3,1452,4,25.0%,4,23.5%,11,72.4,627,4466,2,5443,40,1,0,12,66.4%,23/395,7,2.6
J. Allen,BUF,4,1460,4,1417,3,25.9%,3,24.9%,3,81.7,598,4385,4,5155,37,3,2,10,69.2%,8/170,14,2.0
D. Watson,HOU,5,1234,5,1332,5,20.2%,5,22.7%,13,71.0,591,4530,5,4849,33,2,2,7,70.5%,6/130,13,2.1
R. Tannehill,TEN,6,1046,6,1139,6,19.6%,6,22.3%,4,78.7,505,3636,10,4166,33,3,1,7,65.6%,10/169,24,1.2
D. Carr,LV,7,925,9,833,9,14.0%,11,11.5%,12,71.2,539,3943,9,4224,27,1,7,9,68.0%,10/244,2,4.4
J. Herbert,LAC,8,861,10,808,11,10.2%,13,8.9%,14,69.7,623,4118,7,4410,31,2,1,10,67.0%,7/129,25,1.2
K. Cousins,MIN,9,837,8,935,10,12.0%,9,14.8%,19,63.3,552,4009,12,4052,35,4,4,11,68.0%,8/127,22,1.4
M. Ryan,ATL,10,817,13,680,15,7.6%,18,4.5%,17,66.8,666,4303,6,4610,26,2,2,10,65.3%,9/109,16,1.7
R. Wilson,SEA,11,773,11,722,13,8.1%,15,6.8%,9,73.7,604,3879,8,4294,40,0,2,13,69.3%,8/198,5,2.9
D. Brees,NO,12,769,12,709,7,17.6%,8,15.3%,7,74.5,401,2845,19,3203,24,3,2,6,71.1%,5/85,31,0.1
P. Rivers,IND,13,765,7,1025,12,9.9%,7,17.1%,20,62.7,559,4047,13,3967,24,1,1,11,68.5%,13/176,27,0.5
M. Stafford,DET,14,684,16,628,14,7.7%,16,6.1%,16,68.8,559,3820,14,3859,26,1,1,10,65.2%,9/152,10,2.2
K. Murray,ARI,15,590,17,583,18,4.6%,19,4.4%,15,69.1,577,3760,15,3826,26,0,4,12,68.7%,10/113,6,2.8
B. Mayfield,CLE,16,545,15,641,17,5.1%,14,7.9%,10,72.4,507,3326,17,3450,26,1,3,8,64.2%,6/83,15,1.8
B. Roethlisberger,PIT,17,518,14,677,20,1.1%,17,4.9%,23,60.8,621,3676,11,4104,33,2,0,10,65.7%,19/351,26,0.7
T. Bridgewater,CAR,18,446,23,248,19,2.0%,24,-3.8%,18,64.1,521,3508,18,3336,15,0,2,11,69.7%,8/116,33,-0.3
D. Prescott,DAL,19,399,19,391,8,14.0%,10,13.6%,5,78.4,231,1790,28,1820,9,0,3,4,68.3%,2/4,8,2.5
J. Goff,LAR,20,385,21,305,22,-1.1%,23,-3.2%,24,58.5,573,3761,16,3603,20,2,3,13,67.6%,5/68,19,1.6
R. Fitzpatrick,MIA,21,362,18,400,16,7.5%,12,9.5%,6,77.3,280,2026,23,2059,13,1,0,8,68.8%,10/150,12,2.2
L. Jackson,BAL,22,265,20,368,21,-0.7%,20,3.4%,8,73.9,402,2597,20,2405,26,2,2,9,64.9%,3/83,23,1.4
J. Burrow,CIN,23,108,25,98,23,-7.3%,25,-7.6%,25,56.5,433,2457,21,2401,13,1,3,5,65.8%,4/52,20,1.6
M. Trubisky,CHI,24,79,22,281,24,-7.5%,21,1.9%,21,61.8,315,1930,27,1842,16,2,2,8,67.0%,3/36,17,1.7
N. Mullens,SF,25,76,27,-63,25,-7.7%,27,-14.0%,32,44.4,345,2298,26,1875,12,1,4,12,64.7%,5/79,29,0.1
T. Tagovailoa,MIA,26,56,26,29,26,-8.5%,26,-9.8%,27,52.9,307,1667,31,1790,11,0,1,5,65.0%,9/86,9,2.5
G. Minshew,JAX,27,4,24,219,27,-11.0%,22,-1.8%,28,52.2,353,2112,25,1896,16,0,4,5,66.3%,7/80,30,0.1
N. Foles,CHI,28,-112,31,-232,29,-16.3%,31,-21.9%,33,43.6,329,1688,32,1581,10,1,0,8,65.2%,5/111,28,0.2
A. Dalton,DAL,29,-136,30,-165,30,-16.7%,30,-17.9%,26,54.0,357,1976,29,1799,14,1,0,8,65.1%,6/104,11,2.2
D. Lock,DEN,30,-151,28,-87,28,-16.2%,28,-14.1%,30,49.2,460,2781,22,2178,16,1,3,14,58.0%,10/125,18,1.7
C. Newton,NE,31,-166,29,-115,31,-17.7%,29,-15.7%,31,47.4,397,2462,30,1798,8,1,0,10,66.1%,1/5,35,-2.1
D. Jones,NYG,32,-350,34,-522,32,-22.4%,32,-27.9%,22,61.5,491,2657,24,2031,11,4,4,10,62.8%,7/66,32,0.1
D. Haskins,WAS,33,-483,33,-434,36,-40.1%,35,-37.1%,36,30.8,261,1298,36,686,5,2,3,6,61.4%,2/19,34,-0.3
A. Smith,WAS,34,-506,32,-409,35,-39.7%,33,-34.2%,35,34.7,274,1443,35,733,6,1,0,8,66.7%,2/26,36,-2.6
S. Darnold,NYJ,35,-540,35,-658,33,-32.2%,34,-36.8%,34,40.7,396,1974,34,1333,9,2,2,11,60.1%,8/141,21,1.5
C. Wentz,PHI,36,-780,36,-843,34,-35.9%,36,-37.9%,29,49.7,486,2278,33,1468,16,3,3,15,57.7%,11/232,4,2.9

Player,Team,DYAR,YAR,DVOA,VOA,QBR,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
J. Garoppolo,SF,198,155,9.3%,4.9%,61.4,151,1019,1046,7,1,0,4,67.1%,2/33,1.4
C. Henne,KC,89,82,22.3%,19.5%,32.7,40,244,337,2,0,0,0,73.7%,0/0,-5.1
C. Beathard,SF,75,111,-1.0%,3.8%,53.4,112,716,699,6,0,3,0,64.1%,1/10,1.0
M. Mariota,LV,45,38,13.0%,9.5%,98.1,27,226,211,1,0,0,1,63.0%,1/10,-5.3
T. Heinicke,WAS,33,31,12.7%,11.6%,48.3,20,130,155,1,0,0,0,63.2%,0/0,-1.5
G. Gilbert,DAL,25,-36,-0.5%,-26.5%,63.9,39,220,224,1,0,0,1,56.8%,0/0,3.5
M. Barkley,BUF,21,21,4.5%,4.6%,34.1,22,190,135,1,0,0,1,52.4%,0/0,5.3
T. Taylor,LAC,20,40,-0.7%,9.5%,21.3,32,207,188,0,0,0,0,53.3%,0/0,7.0
K. Allen,WAS,20,62,-8.0%,-1.4%,74.4,94,566,535,4,0,1,1,69.0%,1/19,-0.4
T. McSorley,BAL,15,8,14.0%,2.1%,35,10,90,68,1,0,0,0,30.0%,0/0,-1.8
B. Gabbert,TB,13,40,-0.1%,22.2%,60.9,17,136,115,2,1,0,0,56.3%,1/35,-4.8
J. Flacco,NYJ,2,-44,-11.0%,-15.7%,57.9,141,782,777,6,0,0,3,55.6%,5/73,4.0
M. Rudolph,PIT,1,25,-10.9%,-1.3%,77.8,44,316,208,2,0,0,1,58.1%,0/0,1.0
J. Winston,NO,-7,-12,-20.4%,-26.2%,13.5,13,64,54,0,0,0,0,63.6%,0/0,-4.8
C. Keenum,CLE,-16,-32,-32.9%,-54.4%,41.7,10,46,37,0,0,0,0,50.0%,0/0,0.5
J. Driskel,DEN,-36,-143,-18.9%,-42.2%,42.8,75,334,321,3,0,0,2,54.7%,4/42,-0.8
C. Daniel,DET,-36,-60,-23.5%,-31.9%,20.6,45,235,185,1,0,0,2,69.1%,0/0,2.8
C. Streveler,ARI,-39,-62,-45.9%,-66.0%,36.1,18,95,38,1,1,0,1,68.8%,1/18,-13.0
N. Sudfeld,PHI,-51,-69,-72.6%,-94.3%,2.4,14,16,-3,0,0,0,1,41.7%,0/0,7.3
