Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM,Suc Rate Rank,Suc Rate
D. Henry,TEN,1,386,1,462,10,15.5%,4,20.3%,377,2027,1,2002,17,3,7,57%
D. Cook,MIN,2,335,2,299,8,15.6%,10,13.0%,312,1557,2,1738,16,4,10,56%
N. Chubb,CLE,3,276,4,257,2,25.5%,3,23.2%,191,1067,4,1145,12,1,20,52%
A. Jones,GB,4,254,8,190,5,20.3%,11,12.9%,201,1104,3,1170,9,1,5,59%
A. Kamara,NO,5,253,3,272,3,23.1%,1,25.4%,187,932,6,1098,16,1,15,54%
J. Dobbins,BAL,6,196,7,192,1,26.1%,2,25.4%,134,805,17,806,9,2,4,59%
R. Jones,TB,7,195,5,213,11,15.5%,6,17.7%,192,978,10,1015,7,0,8,57%
A. Gibson,WAS,8,193,9,189,6,18.8%,5,18.3%,170,795,13,919,11,0,21,52%
D. Henderson,LAR,9,185,14,119,4,21.5%,15,10.7%,138,624,16,831,5,0,11,55%
G. Edwards,BAL,10,177,10,165,7,17.5%,7,15.7%,144,723,14,871,6,1,2,63%
C. Carson,SEA,11,153,12,144,12,15.1%,8,13.8%,141,681,18,803,5,1,1,65%
W. Gallman,NYG,12,151,17,96,9,15.6%,18,6.7%,147,682,20,784,6,1,14,54%
L. Murray,NO,13,131,13,124,15,12.4%,13,11.3%,146,656,22,749,4,1,3,62%
J. Taylor,IND,14,127,6,199,21,3.8%,14,10.8%,232,1169,7,1091,11,1,22,52%
M. Sanders,PHI,15,110,23,68,19,7.0%,25,1.1%,164,867,21,783,6,4,13,55%
D. Swift,DET,16,106,16,106,14,13.0%,9,13.1%,114,521,31,593,8,2,16,54%
D. Harris,NE,17,102,15,113,17,9.9%,12,11.8%,137,691,28,644,2,1,19,53%
T. Pollard,DAL,18,91,27,49,13,13.0%,22,3.1%,101,435,37,512,4,0,37,47%
M. Brown,LAR,19,89,25,58,16,11.7%,19,4.6%,101,419,36,521,5,0,32,49%
E. Elliott,DAL,20,87,39,-18,27,-1.0%,38,-10.1%,244,979,5,1115,7,5,25,50%
J. Wilson,SF,21,86,20,83,18,7.3%,17,6.8%,126,600,30,604,7,2,17,53%
J. Robinson,JAX,22,76,11,152,26,-0.8%,16,6.9%,240,1070,12,965,7,1,28,49%
D. Johnson,HOU,23,71,19,85,23,2.2%,20,4.2%,147,691,25,686,6,0,41,46%
K. Hunt,CLE,24,64,28,48,25,-0.6%,29,-2.6%,198,841,19,801,6,1,24,51%
A. Peterson,DET,25,64,30,34,24,0.9%,31,-3.6%,156,604,24,689,7,0,40,46%
J. Williams,GB,26,60,24,66,22,2.8%,21,3.9%,119,505,34,553,2,0,6,58%
M. Gordon,DEN,27,59,18,92,28,-1.8%,24,2.1%,214,965,15,841,9,2,44,44%
K. Drake,ARI,28,57,35,18,29,-3.4%,35,-7.0%,239,955,9,1043,10,3,26,50%
R. Mostert,SF,29,57,32,27,20,4.0%,30,-2.7%,104,521,39,486,2,1,30,49%
D. Montgomery,CHI,30,57,21,75,30,-3.5%,28,-1.8%,247,1070,8,1043,8,0,36,47%
M. Davis,CAR,31,37,33,26,31,-3.5%,33,-5.0%,165,642,26,680,6,1,27,50%
Z. Moss,BUF,32,23,26,54,32,-4.1%,23,2.2%,112,481,40,472,4,0,18,53%
C. Edwards-Helaire,KC,33,13,22,71,33,-6.9%,27,0.4%,181,803,23,698,4,0,9,56%
J. Conner,PIT,34,8,31,33,34,-7.5%,32,-4.0%,169,721,29,639,6,2,29,49%
B. Hill,ATL,35,0,37,-5,35,-8.6%,37,-9.7%,100,465,44,357,1,1,33,48%
M. Gaskin,MIA,36,-15,40,-18,36,-10.9%,40,-11.4%,142,584,35,540,3,2,12,55%
J. Mixon,CIN,37,-16,43,-32,38,-11.6%,43,-14.8%,119,428,41,422,3,1,39,46%
