Week,Opponent,Total DVOA,Offense DVOA,Offense Pass DVOA,Offense Rush DVOA,Defense DVOA,Defense Pass DVOA,Defense Rush DVOA,Special Teams DVOA
1,DET,-16.2%,-11.2%,-2.3%,-16.3%,3.2%,10.7%,-8.8%,-1.7%
2,NYG,-22.2%,-29.4%,-31.9%,-27.1%,-13.3%,-12.2%,-15.8%,-6.0%
3,ATL,-7.1%,-16.2%,-17.8%,-3.9%,-12.6%,-38.1%,29.2%,-3.4%
4,IND,4.9%,4.7%,25.4%,-42.7%,-10.8%,29.2%,-44.3%,-10.7%
5,TB,27.4%,-2.2%,-3.9%,11.5%,-23.0%,-33.0%,-1.9%,6.7%
6,CAR,20.1%,-20.6%,3.8%,-36.0%,-42.2%,-38.0%,-48.0%,-1.4%
7,LAR,-25.1%,-30.2%,-24.4%,-28.0%,0.1%,14.8%,-18.1%,5.2%
8,NO,8.7%,1.4%,28.7%,-17.8%,-15.3%,6.0%,-39.6%,-8.0%
9,TEN,-0.4%,-35.8%,-14.7%,-56.2%,-34.8%,-13.6%,-53.8%,0.6%
10,MIN,-2.3%,-56.4%,-48.5%,-70.3%,-23.2%,16.2%,-63.3%,30.9%
11,BYE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
12,GB,-31.5%,-9.3%,-6.0%,-8.2%,21.5%,60.5%,-6.1%,-0.7%
13,DET,-12.2%,11.7%,16.2%,14.0%,28.7%,50.6%,-7.5%,4.9%
14,HOU,36.3%,3.9%,38.3%,-5.4%,-23.8%,-20.7%,-29.7%,8.6%
15,MIN,4.8%,2.4%,21.4%,-1.1%,3.5%,8.8%,-3.7%,5.8%
16,JAX,17.1%,0.8%,27.2%,-26.1%,-15.5%,-14.6%,-17.5%,0.8%
17,GB,-24.8%,1.4%,17.6%,-17.2%,35.7%,66.4%,-12.1%,9.4%

