Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team
BAL,1.00000,1.00000,0.88000,1.00000,0.88000,1.00000,0.39900,1.00000,0.39900,3.00000,-0.38800,3.00000,-0.38800,2.00000,0.09400,2.00000,0.09400,HOU,0.00000,20.00000,-0.09300,20.00000,-0.09300,11.00000,0.11100,11.00000,0.11100,24.00000,0.16700,24.00000,0.16700,19.00000,-0.03600,19.00000,-0.03600,0.00000
NE,0.00000,2.00000,0.52300,2.00000,0.52300,3.00000,0.36400,3.00000,0.36400,5.00000,-0.23800,5.00000,-0.23800,25.00000,-0.07900,25.00000,-0.07900,SEA,1.00000,4.00000,0.37000,4.00000,0.37000,2.00000,0.38600,2.00000,0.38600,21.00000,0.09500,21.00000,0.09500,3.00000,0.07800,3.00000,0.07800,0.00000
JAX,0.00000,3.00000,0.38000,3.00000,0.38000,4.00000,0.35800,4.00000,0.35800,13.00000,0.00500,13.00000,0.00500,5.00000,0.02800,5.00000,0.02800,TEN,1.00000,22.00000,-0.14300,22.00000,-0.14300,16.00000,0.03400,16.00000,0.03400,10.00000,-0.11100,10.00000,-0.11100,32.00000,-0.28700,32.00000,-0.28700,1.00000
SEA,1.00000,4.00000,0.37000,4.00000,0.37000,2.00000,0.38600,2.00000,0.38600,21.00000,0.09500,21.00000,0.09500,3.00000,0.07800,3.00000,0.07800,NE,0.00000,2.00000,0.52300,2.00000,0.52300,3.00000,0.36400,3.00000,0.36400,5.00000,-0.23800,5.00000,-0.23800,25.00000,-0.07900,25.00000,-0.07900,1.00000
PIT,1.00000,5.00000,0.36000,5.00000,0.36000,14.00000,0.06500,14.00000,0.06500,2.00000,-0.39000,2.00000,-0.39000,27.00000,-0.09400,27.00000,-0.09400,DEN,0.00000,24.00000,-0.17100,24.00000,-0.17100,23.00000,-0.13300,23.00000,-0.13300,19.00000,0.03900,19.00000,0.03900,11.00000,0.00100,11.00000,0.00100,1.00000
WAS,0.00000,6.00000,0.35900,6.00000,0.35900,28.00000,-0.32700,28.00000,-0.32700,1.00000,-0.69400,1.00000,-0.69400,13.00000,-0.00800,13.00000,-0.00800,ARI,1.00000,18.00000,-0.05200,18.00000,-0.05200,20.00000,0.00500,20.00000,0.00500,17.00000,0.02900,17.00000,0.02900,17.00000,-0.02800,17.00000,-0.02800,0.00000
BUF,1.00000,7.00000,0.16700,7.00000,0.16700,17.00000,0.02600,17.00000,0.02600,7.00000,-0.19000,7.00000,-0.19000,22.00000,-0.04800,22.00000,-0.04800,MIA,0.00000,30.00000,-0.48900,30.00000,-0.48900,27.00000,-0.23200,27.00000,-0.23200,29.00000,0.28300,29.00000,0.28300,8.00000,0.02600,8.00000,0.02600,0.00000
LV,1.00000,8.00000,0.13700,8.00000,0.13700,5.00000,0.31700,5.00000,0.31700,23.00000,0.16500,23.00000,0.16500,15.00000,-0.01400,15.00000,-0.01400,NO,0.00000,9.00000,0.10800,9.00000,0.10800,24.00000,-0.13700,24.00000,-0.13700,9.00000,-0.14300,9.00000,-0.14300,1.00000,0.10200,1.00000,0.10200,1.00000
NO,0.00000,9.00000,0.10800,9.00000,0.10800,24.00000,-0.13700,24.00000,-0.13700,9.00000,-0.14300,9.00000,-0.14300,1.00000,0.10200,1.00000,0.10200,LV,1.00000,8.00000,0.13700,8.00000,0.13700,5.00000,0.31700,5.00000,0.31700,23.00000,0.16500,23.00000,0.16500,15.00000,-0.01400,15.00000,-0.01400,0.00000
MIN,0.00000,10.00000,0.10800,10.00000,0.10800,6.00000,0.28200,6.00000,0.28200,26.00000,0.20100,26.00000,0.20100,6.00000,0.02700,6.00000,0.02700,IND,1.00000,26.00000,-0.27000,26.00000,-0.27000,15.00000,0.03800,15.00000,0.03800,28.00000,0.26000,28.00000,0.26000,21.00000,-0.04800,21.00000,-0.04800,0.00000
LAC,0.00000,11.00000,0.04100,11.00000,0.04100,22.00000,-0.07600,22.00000,-0.07600,6.00000,-0.20400,6.00000,-0.20400,26.00000,-0.08700,26.00000,-0.08700,KC,1.00000,16.00000,-0.01300,16.00000,-0.01300,9.00000,0.17600,9.00000,0.17600,25.00000,0.17500,25.00000,0.17500,14.00000,-0.01300,14.00000,-0.01300,1.00000
CAR,0.00000,12.00000,0.02500,12.00000,0.02500,8.00000,0.23400,8.00000,0.23400,27.00000,0.24000,27.00000,0.24000,4.00000,0.03200,4.00000,0.03200,TB,1.00000,23.00000,-0.16300,23.00000,-0.16300,25.00000,-0.16100,25.00000,-0.16100,8.00000,-0.16400,8.00000,-0.16400,30.00000,-0.16700,30.00000,-0.16700,0.00000
CHI,1.00000,13.00000,0.00300,13.00000,0.00300,19.00000,0.00900,19.00000,0.00900,12.00000,-0.01600,12.00000,-0.01600,16.00000,-0.02200,16.00000,-0.02200,NYG,0.00000,31.00000,-0.54700,31.00000,-0.54700,30.00000,-0.45400,30.00000,-0.45400,22.00000,0.11900,22.00000,0.11900,7.00000,0.02600,7.00000,0.02600,1.00000
DAL,1.00000,14.00000,0.00300,14.00000,0.00300,12.00000,0.09200,12.00000,0.09200,18.00000,0.03900,18.00000,0.03900,23.00000,-0.05100,23.00000,-0.05100,ATL,0.00000,25.00000,-0.26000,25.00000,-0.26000,10.00000,0.11800,10.00000,0.11800,32.00000,0.38900,32.00000,0.38900,10.00000,0.01100,10.00000,0.01100,1.00000
DET,0.00000,15.00000,-0.00100,15.00000,-0.00100,21.00000,-0.00300,21.00000,-0.00300,15.00000,0.01200,15.00000,0.01200,9.00000,0.01400,9.00000,0.01400,GB,1.00000,17.00000,-0.05000,17.00000,-0.05000,7.00000,0.24200,7.00000,0.24200,30.00000,0.28700,30.00000,0.28700,12.00000,-0.00400,12.00000,-0.00400,0.00000
KC,1.00000,16.00000,-0.01300,16.00000,-0.01300,9.00000,0.17600,9.00000,0.17600,25.00000,0.17500,25.00000,0.17500,14.00000,-0.01300,14.00000,-0.01300,LAC,0.00000,11.00000,0.04100,11.00000,0.04100,22.00000,-0.07600,22.00000,-0.07600,6.00000,-0.20400,6.00000,-0.20400,26.00000,-0.08700,26.00000,-0.08700,0.00000
GB,1.00000,17.00000,-0.05000,17.00000,-0.05000,7.00000,0.24200,7.00000,0.24200,30.00000,0.28700,30.00000,0.28700,12.00000,-0.00400,12.00000,-0.00400,DET,0.00000,15.00000,-0.00100,15.00000,-0.00100,21.00000,-0.00300,21.00000,-0.00300,15.00000,0.01200,15.00000,0.01200,9.00000,0.01400,9.00000,0.01400,1.00000
ARI,1.00000,18.00000,-0.05200,18.00000,-0.05200,20.00000,0.00500,20.00000,0.00500,17.00000,0.02900,17.00000,0.02900,17.00000,-0.02800,17.00000,-0.02800,WAS,0.00000,6.00000,0.35900,6.00000,0.35900,28.00000,-0.32700,28.00000,-0.32700,1.00000,-0.69400,1.00000,-0.69400,13.00000,-0.00800,13.00000,-0.00800,1.00000
