Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team
BAL,0,1,0.606,1,0.606,5,0.233,5,0.233,3,-0.311,3,-0.311,3,0.062,3,0.062,KC,1,10,0.104,10,0.104,8,0.157,8,0.157,23,0.097,23,0.097,5,0.044,5,0.044,1
SEA,1,2,0.341,2,0.341,2,0.349,2,0.349,24,0.099,24,0.099,1,0.091,1,0.091,DAL,0,14,0.041,14,0.041,11,0.069,11,0.069,15,-0.008,15,-0.008,22,-0.037,22,-0.037,1
PIT,1,3,0.324,3,0.324,14,-0.011,14,-0.011,2,-0.353,2,-0.353,19,-0.019,19,-0.019,HOU,0,22,-0.154,22,-0.154,18,-0.045,18,-0.045,25,0.114,25,0.114,13,0.005,13,0.005,1
GB,1,4,0.255,4,0.255,1,0.367,1,0.367,26,0.12,26,0.12,12,0.008,12,0.008,NO,0,7,0.186,7,0.186,12,0.065,12,0.065,10,-0.068,10,-0.068,4,0.053,4,0.053,0
LAR,0,5,0.237,5,0.237,3,0.308,3,0.308,14,-0.014,14,-0.014,29,-0.085,29,-0.085,BUF,1,6,0.235,6,0.235,7,0.207,7,0.207,12,-0.05,12,-0.05,20,-0.022,20,-0.022,0
BUF,1,6,0.235,6,0.235,7,0.207,7,0.207,12,-0.05,12,-0.05,20,-0.022,20,-0.022,LAR,0,5,0.237,5,0.237,3,0.308,3,0.308,14,-0.014,14,-0.014,29,-0.085,29,-0.085,1
NO,0,7,0.186,7,0.186,12,0.065,12,0.065,10,-0.068,10,-0.068,4,0.053,4,0.053,GB,1,4,0.255,4,0.255,1,0.367,1,0.367,26,0.12,26,0.12,12,0.008,12,0.008,1
IND,1,8,0.131,8,0.131,21,-0.066,21,-0.066,5,-0.182,5,-0.182,10,0.016,10,0.016,NYJ,0,28,-0.272,28,-0.272,29,-0.273,29,-0.273,11,-0.059,11,-0.059,25,-0.057,25,-0.057,1
NE,1,9,0.117,9,0.117,4,0.275,4,0.275,19,0.069,19,0.069,30,-0.09,30,-0.09,LV,0,20,-0.086,20,-0.086,10,0.104,10,0.104,30,0.189,30,0.189,14,-0.001,14,-0.001,1
KC,1,10,0.104,10,0.104,8,0.157,8,0.157,23,0.097,23,0.097,5,0.044,5,0.044,BAL,0,1,0.606,1,0.606,5,0.233,5,0.233,3,-0.311,3,-0.311,3,0.062,3,0.062,0
