Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BAL,2-0,1,60.6%,1,60.6%,5,23.3%,5,23.3%,3,-31.1%,3,-31.1%,3,6.2%,3,6.2%
SEA,2-0,2,34.1%,2,34.1%,2,34.9%,2,34.9%,24,9.9%,24,9.9%,1,9.1%,1,9.1%
PIT,2-0,3,32.4%,3,32.4%,14,-1.1%,14,-1.1%,2,-35.3%,2,-35.3%,19,-1.9%,19,-1.9%
GB,2-0,4,25.5%,4,25.5%,1,36.7%,1,36.7%,26,12.0%,26,12.0%,12,0.8%,12,0.8%
LAR,2-0,5,23.7%,5,23.7%,3,30.8%,3,30.8%,14,-1.4%,14,-1.4%,29,-8.5%,29,-8.5%
BUF,2-0,6,23.5%,6,23.5%,7,20.7%,7,20.7%,12,-5.0%,12,-5.0%,20,-2.2%,20,-2.2%
NO,1-1,7,18.6%,7,18.6%,12,6.5%,12,6.5%,10,-6.8%,10,-6.8%,4,5.3%,4,5.3%
IND,1-1,8,13.1%,8,13.1%,21,-6.6%,21,-6.6%,5,-18.2%,5,-18.2%,10,1.6%,10,1.6%
NE,1-1,9,11.7%,9,11.7%,4,27.5%,4,27.5%,19,6.9%,19,6.9%,30,-9.0%,30,-9.0%
KC,2-0,10,10.4%,10,10.4%,8,15.7%,8,15.7%,23,9.7%,23,9.7%,5,4.4%,5,4.4%
TB,1-1,11,7.8%,11,7.8%,19,-4.7%,19,-4.7%,4,-19.0%,4,-19.0%,27,-6.6%,27,-6.6%
JAX,1-1,12,5.3%,12,5.3%,6,21.9%,6,21.9%,27,12.7%,27,12.7%,24,-3.9%,24,-3.9%
TEN,2-0,13,4.8%,13,4.8%,9,13.5%,9,13.5%,16,-0.8%,16,-0.8%,31,-9.5%,31,-9.5%
DAL,1-1,14,4.1%,14,4.1%,11,6.9%,11,6.9%,15,-0.8%,15,-0.8%,22,-3.7%,22,-3.7%
SF,1-1,15,2.5%,15,2.5%,20,-5.5%,20,-5.5%,9,-9.4%,9,-9.4%,18,-1.4%,18,-1.4%
WAS,1-1,16,1.0%,16,1.0%,30,-32.6%,30,-32.6%,1,-36.2%,1,-36.2%,21,-2.7%,21,-2.7%
ARI,2-0,17,0.2%,17,0.2%,23,-8.9%,23,-8.9%,8,-9.5%,8,-9.5%,15,-0.5%,15,-0.5%
CHI,2-0,18,-1.6%,18,-1.6%,24,-12.6%,24,-12.6%,6,-14.9%,6,-14.9%,23,-3.9%,23,-3.9%
LAC,1-1,19,-4.5%,19,-4.5%,17,-2.1%,17,-2.1%,13,-3.6%,13,-3.6%,26,-6.0%,26,-6.0%
LV,2-0,20,-8.6%,20,-8.6%,10,10.4%,10,10.4%,30,18.9%,30,18.9%,14,-0.1%,14,-0.1%
ATL,0-2,21,-9.6%,21,-9.6%,13,3.8%,13,3.8%,28,15.5%,28,15.5%,9,2.1%,9,2.1%
HOU,0-2,22,-15.4%,22,-15.4%,18,-4.5%,18,-4.5%,25,11.4%,25,11.4%,13,0.5%,13,0.5%
CAR,0-2,23,-20.6%,23,-20.6%,15,-1.1%,15,-1.1%,29,18.2%,29,18.2%,16,-1.3%,16,-1.3%
DET,0-2,24,-21.3%,24,-21.3%,16,-1.3%,16,-1.3%,31,22.6%,31,22.6%,7,2.6%,7,2.6%
MIN,0-2,25,-21.5%,25,-21.5%,25,-13.1%,25,-13.1%,20,7.0%,20,7.0%,17,-1.4%,17,-1.4%
NYG,0-2,26,-21.8%,26,-21.8%,31,-36.3%,31,-36.3%,7,-12.1%,7,-12.1%,8,2.3%,8,2.3%
CIN,0-2,27,-25.1%,27,-25.1%,27,-20.9%,27,-20.9%,22,7.6%,22,7.6%,6,3.5%,6,3.5%
NYJ,0-2,28,-27.2%,28,-27.2%,29,-27.3%,29,-27.3%,11,-5.9%,11,-5.9%,25,-5.7%,25,-5.7%
CLE,1-1,29,-35.0%,29,-35.0%,26,-15.7%,26,-15.7%,21,7.5%,21,7.5%,32,-11.8%,32,-11.8%
DEN,0-2,30,-35.1%,30,-35.1%,28,-26.1%,28,-26.1%,17,0.6%,17,0.6%,28,-8.5%,28,-8.5%
MIA,0-2,31,-35.3%,31,-35.3%,22,-7.4%,22,-7.4%,32,34.6%,32,34.6%,2,6.6%,2,6.6%
PHI,0-2,32,-42.9%,32,-42.9%,32,-37.6%,32,-37.6%,18,6.4%,18,6.4%,11,1.1%,11,1.1%

