Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team
IND,1,1.00000,0.35200,1.00000,0.35200,18.00000,-0.00700,18.00000,-0.00700,1.00000,-0.32300,1.00000,-0.32300,10.00000,0.03600,10.00000,0.03600,CHI,0,17.00000,-0.03100,17.00000,-0.03100,26.00000,-0.14100,26.00000,-0.14100,6.00000,-0.13600,6.00000,-0.13600,22.00000,-0.02500,22.00000,-0.02500,0
SF,0,3.00000,0.30100,3.00000,0.30100,8.00000,0.11300,8.00000,0.11300,5.00000,-0.18900,5.00000,-0.18900,15.00000,-0.00100,15.00000,-0.00100,PHI,1,29.00000,-0.32500,29.00000,-0.32500,28.00000,-0.34200,28.00000,-0.34200,15.00000,0.01900,15.00000,0.01900,9.00000,0.03700,9.00000,0.03700,1
SEA,1,4.00000,0.26700,4.00000,0.26700,3.00000,0.27300,3.00000,0.27300,23.00000,0.07300,23.00000,0.07300,2.00000,0.06800,2.00000,0.06800,MIA,0,26.00000,-0.12300,26.00000,-0.12300,15.00000,0.02300,15.00000,0.02300,32.00000,0.20100,32.00000,0.20100,4.00000,0.05500,4.00000,0.05500,0
TB,1,5.00000,0.25400,5.00000,0.25400,16.00000,0.02200,16.00000,0.02200,2.00000,-0.28600,2.00000,-0.28600,27.00000,-0.05400,27.00000,-0.05400,LAC,0,15.00000,0.01200,15.00000,0.01200,17.00000,0.01800,17.00000,0.01800,11.00000,-0.02500,11.00000,-0.02500,23.00000,-0.03200,23.00000,-0.03200,1
BAL,1,6.00000,0.24200,6.00000,0.24200,13.00000,0.04900,13.00000,0.04900,10.00000,-0.04800,10.00000,-0.04800,1.00000,0.14500,1.00000,0.14500,WAS,0,27.00000,-0.14000,27.00000,-0.14000,29.00000,-0.35300,29.00000,-0.35300,4.00000,-0.23100,4.00000,-0.23100,19.00000,-0.01800,19.00000,-0.01800,0
LAR,1,7.00000,0.21000,7.00000,0.21000,1.00000,0.34600,1.00000,0.34600,21.00000,0.05400,21.00000,0.05400,31.00000,-0.08100,31.00000,-0.08100,NYG,0,30.00000,-0.41200,30.00000,-0.41200,32.00000,-0.43000,32.00000,-0.43000,18.00000,0.03400,18.00000,0.03400,5.00000,0.05200,5.00000,0.05200,1
GB,1,8.00000,0.20400,8.00000,0.20400,2.00000,0.27800,2.00000,0.27800,28.00000,0.11700,28.00000,0.11700,7.00000,0.04400,7.00000,0.04400,ATL,0,21.00000,-0.08700,21.00000,-0.08700,19.00000,-0.00800,19.00000,-0.00800,20.00000,0.04500,20.00000,0.04500,24.00000,-0.03400,24.00000,-0.03400,1
KC,1,9.00000,0.17200,9.00000,0.17200,5.00000,0.25200,5.00000,0.25200,13.00000,-0.00100,13.00000,-0.00100,30.00000,-0.08100,30.00000,-0.08100,NE,0,12.00000,0.14000,12.00000,0.14000,4.00000,0.26900,4.00000,0.26900,25.00000,0.09100,25.00000,0.09100,25.00000,-0.03900,25.00000,-0.03900,1
BUF,1,10.00000,0.16500,10.00000,0.16500,6.00000,0.22300,6.00000,0.22300,24.00000,0.08800,24.00000,0.08800,11.00000,0.03100,11.00000,0.03100,LV,0,25.00000,-0.11700,25.00000,-0.11700,9.00000,0.08900,9.00000,0.08900,31.00000,0.18400,31.00000,0.18400,20.00000,-0.02200,20.00000,-0.02200,0
NO,1,11.00000,0.14800,11.00000,0.14800,10.00000,0.08500,10.00000,0.08500,12.00000,-0.02500,12.00000,-0.02500,8.00000,0.03800,8.00000,0.03800,DET,0,22.00000,-0.09700,22.00000,-0.09700,22.00000,-0.03900,22.00000,-0.03900,27.00000,0.11500,27.00000,0.11500,3.00000,0.05700,3.00000,0.05700,0
NE,0,12.00000,0.14000,12.00000,0.14000,4.00000,0.26900,4.00000,0.26900,25.00000,0.09100,25.00000,0.09100,25.00000,-0.03900,25.00000,-0.03900,KC,1,9.00000,0.17200,9.00000,0.17200,5.00000,0.25200,5.00000,0.25200,13.00000,-0.00100,13.00000,-0.00100,30.00000,-0.08100,30.00000,-0.08100,0
DAL,0,14.00000,0.01500,14.00000,0.01500,12.00000,0.05500,12.00000,0.05500,17.00000,0.02800,17.00000,0.02800,17.00000,-0.01200,17.00000,-0.01200,CLE,1,19.00000,-0.08500,19.00000,-0.08500,25.00000,-0.09000,25.00000,-0.09000,8.00000,-0.05900,8.00000,-0.05900,28.00000,-0.05500,28.00000,-0.05500,1
LAC,0,15.00000,0.01200,15.00000,0.01200,17.00000,0.01800,17.00000,0.01800,11.00000,-0.02500,11.00000,-0.02500,23.00000,-0.03200,23.00000,-0.03200,TB,1,5.00000,0.25400,5.00000,0.25400,16.00000,0.02200,16.00000,0.02200,2.00000,-0.28600,2.00000,-0.28600,27.00000,-0.05400,27.00000,-0.05400,0
ARI,0,16.00000,-0.00700,16.00000,-0.00700,24.00000,-0.08900,24.00000,-0.08900,7.00000,-0.08500,7.00000,-0.08500,16.00000,-0.00300,16.00000,-0.00300,CAR,1,28.00000,-0.18000,28.00000,-0.18000,20.00000,-0.01700,20.00000,-0.01700,30.00000,0.16600,30.00000,0.16600,14.00000,0.00300,14.00000,0.00300,0
CHI,0,17.00000,-0.03100,17.00000,-0.03100,26.00000,-0.14100,26.00000,-0.14100,6.00000,-0.13600,6.00000,-0.13600,22.00000,-0.02500,22.00000,-0.02500,IND,1,1.00000,0.35200,1.00000,0.35200,18.00000,-0.00700,18.00000,-0.00700,1.00000,-0.32300,1.00000,-0.32300,10.00000,0.03600,10.00000,0.03600,1
JAX,0,18.00000,-0.05100,18.00000,-0.05100,7.00000,0.13400,7.00000,0.13400,29.00000,0.14400,29.00000,0.14400,26.00000,-0.04100,26.00000,-0.04100,CIN,1,20.00000,-0.08600,20.00000,-0.08600,27.00000,-0.18800,27.00000,-0.18800,9.00000,-0.05500,9.00000,-0.05500,6.00000,0.04800,6.00000,0.04800,0
CLE,1,19.00000,-0.08500,19.00000,-0.08500,25.00000,-0.09000,25.00000,-0.09000,8.00000,-0.05900,8.00000,-0.05900,28.00000,-0.05500,28.00000,-0.05500,DAL,0,14.00000,0.01500,14.00000,0.01500,12.00000,0.05500,12.00000,0.05500,17.00000,0.02800,17.00000,0.02800,17.00000,-0.01200,17.00000,-0.01200,0
CIN,1,20.00000,-0.08600,20.00000,-0.08600,27.00000,-0.18800,27.00000,-0.18800,9.00000,-0.05500,9.00000,-0.05500,6.00000,0.04800,6.00000,0.04800,JAX,0,18.00000,-0.05100,18.00000,-0.05100,7.00000,0.13400,7.00000,0.13400,29.00000,0.14400,29.00000,0.14400,26.00000,-0.04100,26.00000,-0.04100,1
ATL,0,21.00000,-0.08700,21.00000,-0.08700,19.00000,-0.00800,19.00000,-0.00800,20.00000,0.04500,20.00000,0.04500,24.00000,-0.03400,24.00000,-0.03400,GB,1,8.00000,0.20400,8.00000,0.20400,2.00000,0.27800,2.00000,0.27800,28.00000,0.11700,28.00000,0.11700,7.00000,0.04400,7.00000,0.04400,0
DET,0,22.00000,-0.09700,22.00000,-0.09700,22.00000,-0.03900,22.00000,-0.03900,27.00000,0.11500,27.00000,0.11500,3.00000,0.05700,3.00000,0.05700,NO,1,11.00000,0.14800,11.00000,0.14800,10.00000,0.08500,10.00000,0.08500,12.00000,-0.02500,12.00000,-0.02500,8.00000,0.03800,8.00000,0.03800,1
HOU,0,23.00000,-0.10900,23.00000,-0.10900,21.00000,-0.02700,21.00000,-0.02700,26.00000,0.09400,26.00000,0.09400,12.00000,0.01200,12.00000,0.01200,MIN,1,24.00000,-0.11500,24.00000,-0.11500,23.00000,-0.05000,23.00000,-0.05000,19.00000,0.04000,19.00000,0.04000,21.00000,-0.02500,21.00000,-0.02500,1
MIN,1,24.00000,-0.11500,24.00000,-0.11500,23.00000,-0.05000,23.00000,-0.05000,19.00000,0.04000,19.00000,0.04000,21.00000,-0.02500,21.00000,-0.02500,HOU,0,23.00000,-0.10900,23.00000,-0.10900,21.00000,-0.02700,21.00000,-0.02700,26.00000,0.09400,26.00000,0.09400,12.00000,0.01200,12.00000,0.01200,0
LV,0,25.00000,-0.11700,25.00000,-0.11700,9.00000,0.08900,9.00000,0.08900,31.00000,0.18400,31.00000,0.18400,20.00000,-0.02200,20.00000,-0.02200,BUF,1,10.00000,0.16500,10.00000,0.16500,6.00000,0.22300,6.00000,0.22300,24.00000,0.08800,24.00000,0.08800,11.00000,0.03100,11.00000,0.03100,1
MIA,0,26.00000,-0.12300,26.00000,-0.12300,15.00000,0.02300,15.00000,0.02300,32.00000,0.20100,32.00000,0.20100,4.00000,0.05500,4.00000,0.05500,SEA,1,4.00000,0.26700,4.00000,0.26700,3.00000,0.27300,3.00000,0.27300,23.00000,0.07300,23.00000,0.07300,2.00000,0.06800,2.00000,0.06800,1
WAS,0,27.00000,-0.14000,27.00000,-0.14000,29.00000,-0.35300,29.00000,-0.35300,4.00000,-0.23100,4.00000,-0.23100,19.00000,-0.01800,19.00000,-0.01800,BAL,1,6.00000,0.24200,6.00000,0.24200,13.00000,0.04900,13.00000,0.04900,10.00000,-0.04800,10.00000,-0.04800,1.00000,0.14500,1.00000,0.14500,1
CAR,1,28.00000,-0.18000,28.00000,-0.18000,20.00000,-0.01700,20.00000,-0.01700,30.00000,0.16600,30.00000,0.16600,14.00000,0.00300,14.00000,0.00300,ARI,0,16.00000,-0.00700,16.00000,-0.00700,24.00000,-0.08900,24.00000,-0.08900,7.00000,-0.08500,7.00000,-0.08500,16.00000,-0.00300,16.00000,-0.00300,1
PHI,1,29.00000,-0.32500,29.00000,-0.32500,28.00000,-0.34200,28.00000,-0.34200,15.00000,0.01900,15.00000,0.01900,9.00000,0.03700,9.00000,0.03700,SF,0,3.00000,0.30100,3.00000,0.30100,8.00000,0.11300,8.00000,0.11300,5.00000,-0.18900,5.00000,-0.18900,15.00000,-0.00100,15.00000,-0.00100,0
NYG,0,30.00000,-0.41200,30.00000,-0.41200,32.00000,-0.43000,32.00000,-0.43000,18.00000,0.03400,18.00000,0.03400,5.00000,0.05200,5.00000,0.05200,LAR,1,7.00000,0.21000,7.00000,0.21000,1.00000,0.34600,1.00000,0.34600,21.00000,0.05400,21.00000,0.05400,31.00000,-0.08100,31.00000,-0.08100,0
NYJ,0,31.00000,-0.44200,31.00000,-0.44200,31.00000,-0.37800,31.00000,-0.37800,14.00000,0.00600,14.00000,0.00600,29.00000,-0.05800,29.00000,-0.05800,DEN,1,32.00000,-0.50700,32.00000,-0.50700,30.00000,-0.35700,30.00000,-0.35700,22.00000,0.06000,22.00000,0.06000,32.00000,-0.09000,32.00000,-0.09000,1
DEN,1,32.00000,-0.50700,32.00000,-0.50700,30.00000,-0.35700,30.00000,-0.35700,22.00000,0.06000,22.00000,0.06000,32.00000,-0.09000,32.00000,-0.09000,NYJ,0,31.00000,-0.44200,31.00000,-0.44200,31.00000,-0.37800,31.00000,-0.37800,14.00000,0.00600,14.00000,0.00600,29.00000,-0.05800,29.00000,-0.05800,0
