Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BAL,44287.00,1.00,0.30,1.00,0.30,17.00,0.00,17.00,0.00,3.00,-0.20,3.00,-0.20,1.00,0.10,1.00,0.10
TB,44257.00,2.00,0.30,2.00,0.30,11.00,0.10,11.00,0.10,2.00,-0.20,2.00,-0.20,20.00,0.00,20.00,0.00
SEA,36647.00,3.00,0.30,3.00,0.30,3.00,0.20,3.00,0.20,19.00,0.00,19.00,0.00,4.00,0.10,4.00,0.10
LAR,44287.00,4.00,0.20,4.00,0.20,4.00,0.20,4.00,0.20,8.00,-0.10,8.00,-0.10,29.00,0.00,29.00,0.00
KC,44287.00,5.00,0.20,5.00,0.20,2.00,0.30,2.00,0.30,9.00,0.00,9.00,0.00,30.00,-0.10,30.00,-0.10
GB,36617.00,6.00,0.20,6.00,0.20,1.00,0.30,1.00,0.30,29.00,0.10,29.00,0.10,8.00,0.00,8.00,0.00
IND,44257.00,7.00,0.20,7.00,0.20,25.00,-0.10,25.00,-0.10,1.00,-0.20,1.00,-0.20,2.00,0.10,2.00,0.10
NO,44257.00,8.00,0.20,8.00,0.20,16.00,0.00,16.00,0.00,6.00,-0.10,6.00,-0.10,5.00,0.00,5.00,0.00
PIT,36617.00,9.00,0.20,9.00,0.20,13.00,0.10,13.00,0.10,7.00,-0.10,7.00,-0.10,11.00,0.00,11.00,0.00
TEN,36617.00,10.00,0.20,10.00,0.20,5.00,0.10,5.00,0.10,12.00,0.00,12.00,0.00,12.00,0.00,12.00,0.00
MIN,44200.00,11.00,0.10,11.00,0.10,8.00,0.10,8.00,0.10,15.00,0.00,15.00,0.00,21.00,0.00,21.00,0.00
HOU,44200.00,12.00,0.00,12.00,0.00,18.00,0.00,18.00,0.00,18.00,0.00,18.00,0.00,14.00,0.00,14.00,0.00
MIA,44230.00,13.00,0.00,13.00,0.00,15.00,0.00,15.00,0.00,26.00,0.10,26.00,0.10,6.00,0.00,6.00,0.00
CAR,44257.00,14.00,0.00,14.00,0.00,9.00,0.10,9.00,0.10,23.00,0.10,23.00,0.10,22.00,0.00,22.00,0.00
BUF,44287.00,15.00,0.00,15.00,0.00,7.00,0.10,7.00,0.10,27.00,0.10,27.00,0.10,17.00,0.00,17.00,0.00
DAL,44230.00,16.00,0.00,16.00,0.00,12.00,0.10,12.00,0.10,24.00,0.10,24.00,0.10,19.00,0.00,19.00,0.00
CLE,44287.00,17.00,0.00,17.00,0.00,14.00,0.10,14.00,0.10,17.00,0.00,17.00,0.00,31.00,-0.10,31.00,-0.10
ARI,44257.00,18.00,0.00,18.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,15.00,0.00,15.00,0.00
SF,44230.00,19.00,0.00,19.00,0.00,24.00,-0.10,24.00,-0.10,11.00,0.00,11.00,0.00,13.00,0.00,13.00,0.00
NE,44229.00,20.00,0.00,20.00,0.00,19.00,0.00,19.00,0.00,21.00,0.00,21.00,0.00,16.00,0.00,16.00,0.00
LV,44257.00,21.00,0.00,21.00,0.00,6.00,0.10,6.00,0.10,31.00,0.20,31.00,0.20,18.00,0.00,18.00,0.00
LAC,44200.00,22.00,-0.10,22.00,-0.10,21.00,0.00,21.00,0.00,13.00,0.00,13.00,0.00,32.00,-0.10,32.00,-0.10
CHI,44287.00,23.00,-0.10,23.00,-0.10,26.00,-0.10,26.00,-0.10,5.00,-0.10,5.00,-0.10,25.00,0.00,25.00,0.00
DET,44199.00,24.00,-0.10,24.00,-0.10,23.00,-0.10,23.00,-0.10,30.00,0.10,30.00,0.10,7.00,0.00,7.00,0.00
ATL,0-5,25.00,-0.20,25.00,-0.20,22.00,0.00,22.00,0.00,28.00,0.10,28.00,0.10,24.00,0.00,24.00,0.00
JAX,44200.00,26.00,-0.20,26.00,-0.20,10.00,0.10,10.00,0.10,32.00,0.20,32.00,0.20,28.00,0.00,28.00,0.00
CIN,36894.00,27.00,-0.20,27.00,-0.20,27.00,-0.20,27.00,-0.20,14.00,0.00,14.00,0.00,9.00,0.00,9.00,0.00
WAS,44200.00,28.00,-0.20,28.00,-0.20,31.00,-0.30,31.00,-0.30,4.00,-0.10,4.00,-0.10,23.00,0.00,23.00,0.00
NYG,0-5,29.00,-0.30,29.00,-0.30,32.00,-0.30,32.00,-0.30,16.00,0.00,16.00,0.00,3.00,0.10,3.00,0.10
PHI,36894.00,30.00,-0.30,30.00,-0.30,29.00,-0.30,29.00,-0.30,22.00,0.10,22.00,0.10,10.00,0.00,10.00,0.00
DEN,44199.00,31.00,-0.30,31.00,-0.30,30.00,-0.30,30.00,-0.30,10.00,0.00,10.00,0.00,26.00,0.00,26.00,0.00
NYJ,0-5,32.00,-0.40,32.00,-0.40,28.00,-0.30,28.00,-0.30,25.00,0.10,25.00,0.10,27.00,0.00,27.00,0.00
