Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,1st team,2nd team,bettingteam1,bettingteam2
TB,1.00,1.00,0.41,1.00,0.42,7.00,0.12,7.00,0.13,1.00,-0.29,1.00,-0.30,17.00,0.00,16.00,0.00,LV,0.00,21.00,-0.05,21.00,-0.05,6.00,0.14,6.00,0.14,31.00,0.18,31.00,0.18,21.00,-0.01,21.00,-0.01,0.00,45.00,20.00,-200.00,175.00
PIT,1.00,3.00,0.31,2.00,0.31,9.00,0.08,9.00,0.09,2.00,-0.19,2.00,-0.19,7.00,0.03,7.00,0.03,TEN,0.00,8.00,0.16,8.00,0.17,3.00,0.24,3.00,0.24,22.00,0.05,22.00,0.05,26.00,-0.03,24.00,-0.02,0.00,,,,
IND,44288.00,4.00,0.25,4.00,0.26,21.00,-0.01,21.00,-0.01,3.00,-0.19,3.00,-0.19,2.00,0.07,2.00,0.08,,,,,,,,,,,,,,,,,,,,,,,
SEA,36647.00,5.00,0.25,5.00,0.24,1.00,0.27,1.00,0.26,26.00,0.08,26.00,0.08,4.00,0.06,4.00,0.06,,,,,,,,,,,,,,,,,,,,,,,
KC,44317.00,6.00,0.23,6.00,0.23,2.00,0.26,2.00,0.26,10.00,-0.02,10.00,-0.03,29.00,-0.06,28.00,-0.06,,,,,,,,,,,,,,,,,,,,,,,
NO,44257.00,7.00,0.21,7.00,0.20,10.00,0.08,11.00,0.08,8.00,-0.08,7.00,-0.08,5.00,0.05,5.00,0.05,,,,,,,,,,,,,,,,,,,,,,,
TEN,0.00,8.00,0.16,8.00,0.17,3.00,0.24,3.00,0.24,22.00,0.05,22.00,0.05,26.00,-0.03,24.00,-0.02,PIT,1.00,3.00,0.31,2.00,0.31,9.00,0.08,9.00,0.09,2.00,-0.19,2.00,-0.19,7.00,0.03,7.00,0.03,1.00,,,,
LAR,44288.00,9.00,0.15,9.00,0.16,5.00,0.18,4.00,0.18,13.00,0.00,13.00,-0.01,27.00,-0.04,27.00,-0.03,,,,,,,,,,,,,,,,,,,,,,,
ARI,44288.00,10.00,0.13,10.00,0.13,12.00,0.06,12.00,0.07,9.00,-0.06,9.00,-0.06,14.00,0.00,14.00,0.01,,,,,,,,,,,,,,,,,,,,,,,
MIA,44258.00,11.00,0.10,11.00,0.10,14.00,0.04,13.00,0.05,15.00,0.01,14.00,0.00,3.00,0.06,3.00,0.06,,,,,,,,,,,,,,,,,,,,,,,
GB,44287.00,12.00,0.09,12.00,0.09,4.00,0.18,5.00,0.18,30.00,0.12,29.00,0.12,8.00,0.03,8.00,0.03,,,,,,,,,,,,,,,,,,,,,,,
