Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
T. Kelce,KC,1,415,1,398,3,35.7%,3,33.8%,145,1416,1,1720,11,17,72%,1,2/36
R. Tonyan,GB,2,242,2,249,1,51.7%,1,53.3%,59,586,3,874,11,2,88%,0,1/29
D. Waller,LV,3,190,3,201,15,11.4%,13,12.5%,145,1196,2,1270,9,12,74%,2,2/26
G. Kittle,SF,4,142,4,148,5,28.0%,5,29.6%,63,634,5,646,2,7,76%,0,0/0
T. Higbee,LAR,5,112,5,108,9,19.6%,10,18.6%,60,521,11,594,5,15,73%,0,0/0
M. Gesicki,MIA,6,108,9,87,17,10.5%,18,6.9%,85,703,4,750,6,40,62%,0,4/32
D. Goedert,PHI,7,105,7,99,10,16.8%,11,15.4%,65,524,10,599,3,19,71%,0,2/62
D. Arnold,ARI,8,101,12,83,6,26.7%,9,20.8%,45,438,19,471,4,22,69%,2,1/6
I. Smith,MIN,9,92,11,85,7,23.5%,8,21.2%,43,365,20,451,5,20,70%,0,0/0
D. Fells,HOU,10,90,6,101,2,38.6%,2,44.4%,28,312,24,362,4,11,75%,0,0/0
J. Cook,NO,11,88,8,88,12,13.9%,12,13.9%,60,504,14,543,7,41,62%,1,1/18
R. Rodgers,PHI,12,79,10,85,4,30.4%,4,33.3%,31,345,26,350,2,6,77%,0,0/0
R. Gronkowski,TB,13,77,16,61,20,6.4%,23,3.6%,77,623,6,642,7,45,58%,1,6/84
C. Brate,TB,14,65,14,75,8,22.8%,6,27.3%,34,282,28,325,2,4,82%,0,0/0
J. Smith,TEN,15,65,17,60,18,7.2%,21,5.9%,65,448,16,524,8,38,63%,0,1/22
J. Akins,HOU,16,65,18,58,14,12.4%,16,10.3%,49,403,21,417,1,9,76%,0,0/0
M. Alie-Cox,IND,17,57,13,78,11,14.7%,7,22.9%,39,394,27,343,2,5,79%,1,1/5
M. Andrews,BAL,18,52,15,75,24,1.6%,22,5.6%,88,701,8,602,7,27,66%,2,1/36
W. Dissly,SEA,19,42,21,40,13,13.3%,14,12.0%,29,251,33,266,2,3,83%,0,0/0
D. Smythe,MIA,20,37,22,37,16,10.7%,15,10.6%,29,208,34,255,2,1,90%,0,0/0
N. Fant,DEN,21,37,24,33,25,-1.0%,25,-1.7%,93,673,12,573,3,24,67%,0,0/0
A. Firkser,TEN,22,36,19,51,23,2.8%,19,6.9%,53,387,22,380,1,14,74%,0,2/16
K. Rudolph,MIN,23,33,20,40,19,6.7%,17,9.7%,37,334,31,274,1,8,76%,1,0/0
J. Doyle,IND,24,27,25,31,21,4.9%,20,6.7%,33,251,37,246,3,21,70%,1,0/0
H. Henry,LAC,25,27,27,15,28,-2.9%,28,-4.8%,93,613,13,564,4,33,65%,0,0/0
D. Njoku,CLE,26,21,26,18,22,3.0%,24,1.4%,29,213,40,216,2,30,66%,0,0/0
G. Olsen,SEA,27,14,29,12,27,-2.0%,27,-2.8%,37,239,36,251,1,32,65%,0,1/14
H. Hurst,ATL,28,13,28,12,29,-5.2%,29,-5.3%,88,571,15,532,6,35,64%,0,1/11
T. Conklin,MIN,29,11,32,-3,26,-1.2%,32,-8.8%,26,194,44,172,1,16,73%,1,0/0
J. Graham,CHI,30,8,30,5,30,-5.8%,30,-6.4%,76,456,18,479,8,28,66%,1,1/13
T. Hockenson,DET,31,7,23,35,32,-6.2%,26,-2.3%,101,723,7,603,6,25,66%,0,1/13
C. Herndon,NYJ,32,4,36,-14,31,-6.1%,37,-11.7%,45,287,32,268,3,22,69%,2,1/20
G. Everett,LAR,33,0,41,-30,33,-7.3%,40,-14.6%,62,417,25,350,1,26,66%,1,1/3
L. Thomas,WAS,34,-4,39,-22,34,-7.8%,36,-10.4%,110,670,9,600,6,31,65%,0,1/19
