Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
D. Adams,GB,1,395,1,433,11,19.7%,10,22.9%,149,1374,2,1574,18,3,77%,1,2/24
S. Diggs,BUF,2,377,2,379,16,15.8%,15,16.0%,166,1535,1,1632,8,5,77%,0,4/84
J. Jefferson,MIN,3,373,3,374,7,25.5%,7,25.6%,125,1400,5,1347,7,26,70%,1,4/74
M. Evans,TB,4,354,4,358,6,25.7%,6,26.1%,109,1006,9,1272,13,53,64%,0,9/171
D. Metcalf,SEA,5,334,5,337,12,19.5%,12,19.9%,129,1303,6,1335,10,52,64%,1,3/88
A. Brown,TEN,6,332,7,318,8,25.0%,8,23.4%,106,1075,11,1208,11,46,66%,2,5/101
W. Fuller,HOU,7,326,6,330,1,41.2%,1,41.9%,75,879,21,973,8,24,71%,0,3/76
T. Hill,KC,8,322,9,295,14,17.3%,16,14.8%,135,1276,3,1351,15,51,64%,0,0/0
A. Thielen,MIN,9,287,8,296,13,19.2%,11,20.2%,108,925,12,1157,14,29,69%,0,4/53
N. Agholor,LV,10,277,10,277,4,28.1%,4,28.1%,82,896,22,963,8,69,59%,0,5/155
C. Godwin,TB,11,267,12,265,5,28.0%,5,27.6%,84,840,23,930,7,2,77%,1,1/13
C. Beasley,BUF,12,267,14,243,10,19.9%,14,17.0%,107,967,16,1059,4,4,77%,0,0/0
C. Davis,TEN,13,261,11,267,9,22.5%,9,23.3%,92,984,19,989,5,25,71%,1,1/13
T. Lockett,SEA,14,238,13,261,21,9.8%,19,11.9%,132,1054,10,1217,10,8,76%,1,3/67
M. Jones,DET,15,235,17,228,18,12.3%,20,11.6%,115,978,14,1113,9,44,66%,0,5/95
J. Jones,ATL,16,231,16,231,2,29.8%,2,29.7%,68,771,38,784,3,9,75%,0,2/27
C. Ridley,ATL,17,230,15,232,27,6.7%,26,6.9%,143,1374,7,1304,9,57,63%,1,4/46
B. Cooks,HOU,18,207,19,212,23,9.0%,23,9.4%,119,1143,15,1086,6,30,68%,0,1/11
D. Hopkins,ARI,19,207,18,223,38,3.5%,35,4.7%,160,1407,4,1348,6,19,72%,3,6/93
D. Moore,CAR,20,191,22,180,26,7.9%,28,6.7%,118,1193,17,1038,4,79,56%,0,1/33
A. Cooper,DAL,21,184,24,164,34,4.7%,40,2.8%,130,1114,13,1133,5,23,71%,0,2/32
T. Patrick,DEN,22,183,21,189,15,16.1%,13,17.0%,79,742,37,788,6,49,65%,0,4/52
R. Higgins,CLE,23,176,23,177,3,29.4%,3,29.6%,52,599,54,601,4,22,71%,2,2/25
A. Robinson,CHI,24,175,20,197,41,1.4%,38,3.1%,151,1250,8,1273,6,33,68%,0,3/58
E. Sanders,NO,25,150,25,154,22,9.6%,21,10.2%,82,726,40,770,5,11,74%,1,3/53
T. Higgins,CIN,26,142,27,147,37,3.9%,36,4.5%,108,908,25,908,6,62,62%,1,1/22
T. Hilton,IND,27,138,26,152,30,5.7%,25,7.6%,93,762,35,814,5,68,60%,0,7/98
J. Landry,CLE,28,130,30,127,36,4.0%,37,3.6%,101,840,33,827,3,21,71%,1,0/0
C. Kupp,LAR,29,118,36,101,45,-0.8%,48,-2.5%,124,974,20,981,3,12,74%,0,2/37
M. Williams,LAC,30,117,34,103,35,4.5%,41,2.5%,85,756,44,726,5,76,56%,0,2/31
B. Aiyuk,SF,31,117,29,129,40,1.7%,39,3.1%,96,748,30,835,5,58,63%,0,4/72
G. Davis,BUF,32,115,33,107,20,10.7%,24,9.1%,62,599,60,572,7,77,56%,1,1/10
S. Miller,TB,33,113,31,113,17,13.2%,17,13.3%,53,501,65,522,3,60,62%,0,4/116
M. Valdes-Scantling,GB,34,112,28,130,25,8.5%,18,12.0%,63,690,56,595,6,82,52%,1,4/73
A. Brown,TB,35,110,38,96,24,8.9%,31,6.3%,62,483,59,576,4,18,73%,0,1/10
K. Bourne,SF,36,107,32,112,29,6.1%,27,6.9%,74,667,48,624,2,42,66%,0,1/6
Z. Pascal,IND,37,99,35,102,31,5.5%,32,6.1%,71,629,58,591,5,63,62%,0,0/0
J. Brown,BUF,38,99,40,92,19,11.4%,22,9.9%,52,458,68,480,3,56,63%,0,2/41
C. Samuel,CAR,39,95,42,88,43,0.1%,44,-0.8%,97,851,42,745,3,1,79%,1,1/6
T. Fulgham,PHI,40,93,37,101,33,4.9%,30,6.4%,67,539,61,570,4,75,57%,0,4/90
