Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,1st_Team_ML,2nd_Team_ML
NO,,1,0.784,1,0.784,7,0.254,7,0.254,1,-0.458,1,-0.458,5,0.071,5,0.071,CAR,,7,0.343,7,0.343,15,0.002,15,0.002,3,-0.358,3,-0.358,17,-0.017,17,-0.017,0,-182,155
LAR,,2,0.672,2,0.672,2,0.566,2,0.566,11,-0.091,11,-0.091,11,0.015,11,0.015,IND,,25,-0.268,25,-0.268,19,-0.037,19,-0.037,25,0.235,25,0.235,13,0.004,13,0.004,0,-182,160
PHI,,3,0.565,3,0.565,9,0.218,9,0.218,4,-0.318,4,-0.318,9,0.028,9,0.028,SF,,5,0.39,5,0.39,3,0.358,3,0.358,13,-0.083,13,-0.083,25,-0.051,25,-0.051,1,140,-159
ARI,,4,0.524,4,0.524,13,0.117,13,0.117,2,-0.43,2,-0.43,20,-0.023,20,-0.023,MIN,,14,0.089,14,0.089,16,-0.011,16,-0.011,18,0.024,18,0.024,2,0.124,2,0.124,1,-195,165
SF,,5,0.39,5,0.39,3,0.358,3,0.358,13,-0.083,13,-0.083,25,-0.051,25,-0.051,PHI,,3,0.565,3,0.565,9,0.218,9,0.218,4,-0.318,4,-0.318,9,0.028,9,0.028,0,-159,140
SEA,,6,0.355,6,0.355,5,0.295,5,0.295,14,-0.072,14,-0.072,16,-0.012,16,-0.012,TEN,,31,-0.899,31,-0.899,31,-0.524,31,-0.524,26,0.237,26,0.237,31,-0.138,31,-0.138,1,-235,200
CAR,,7,0.343,7,0.343,15,0.002,15,0.002,3,-0.358,3,-0.358,17,-0.017,17,-0.017,NO,,1,0.784,1,0.784,7,0.254,7,0.254,1,-0.458,1,-0.458,5,0.071,5,0.071,1,155,-182
HOU,,8,0.302,8,0.302,17,-0.017,17,-0.017,6,-0.28,6,-0.28,7,0.039,7,0.039,CLE,,11,0.168,11,0.168,1,0.571,1,0.571,28,0.303,28,0.303,29,-0.1,29,-0.1,0,500,-625
DEN,,9,0.209,9,0.209,6,0.266,6,0.266,20,0.058,20,0.058,14,0.002,14,0.002,JAX,,27,-0.418,27,-0.418,29,-0.388,29,-0.388,15,-0.021,15,-0.021,26,-0.051,26,-0.051,0,-250,215
MIA,,10,0.178,10,0.178,14,0.05,14,0.05,10,-0.098,10,-0.098,8,0.03,8,0.03,BUF,,24,-0.2,24,-0.2,27,-0.261,27,-0.261,8,-0.131,8,-0.131,28,-0.07,28,-0.07,1,150,-177
CLE,,11,0.168,11,0.168,1,0.571,1,0.571,28,0.303,28,0.303,29,-0.1,29,-0.1,HOU,,8,0.302,8,0.302,17,-0.017,17,-0.017,6,-0.28,6,-0.28,7,0.039,7,0.039,1,-625,500
CIN,,12,0.156,12,0.156,12,0.128,12,0.128,19,0.053,19,0.053,4,0.081,4,0.081,CHI,,28,-0.509,28,-0.509,22,-0.072,22,-0.072,32,0.452,32,0.452,12,0.015,12,0.015,0,123,-114
TB,,13,0.149,13,0.149,10,0.175,10,0.175,24,0.163,24,0.163,1,0.137,1,0.137,ATL,,30,-0.755,30,-0.755,30,-0.474,30,-0.474,27,0.255,27,0.255,21,-0.026,21,-0.026,1,-670,510
MIN,,14,0.089,14,0.089,16,-0.011,16,-0.011,18,0.024,18,0.024,2,0.124,2,0.124,ARI,,4,0.524,4,0.524,13,0.117,13,0.117,2,-0.43,2,-0.43,20,-0.023,20,-0.023,0,165,-195
LAC,,15,0.057,15,0.057,20,-0.049,20,-0.049,7,-0.146,7,-0.146,24,-0.04,24,-0.04,DAL,,23,-0.086,23,-0.086,8,0.229,8,0.229,22,0.136,22,0.136,32,-0.18,32,-0.18,1,-175,150
PIT,,16,0.044,16,0.044,26,-0.139,26,-0.139,5,-0.287,5,-0.287,30,-0.104,30,-0.104,LV,,17,0.027,17,0.027,21,-0.068,21,-0.068,9,-0.115,9,-0.115,18,-0.02,18,-0.02,1,-230,195
LV,,17,0.027,17,0.027,21,-0.068,21,-0.068,9,-0.115,9,-0.115,18,-0.02,18,-0.02,PIT,,16,0.044,16,0.044,26,-0.139,26,-0.139,5,-0.287,5,-0.287,30,-0.104,30,-0.104,0,195,-230
WAS,,18,0.02,18,0.02,24,-0.122,24,-0.122,12,-0.09,12,-0.09,6,0.052,6,0.052,NYG,,19,-0.014,19,-0.014,11,0.158,11,0.158,23,0.152,23,0.152,19,-0.021,19,-0.021,1,-167,145
NYG,,19,-0.014,19,-0.014,11,0.158,11,0.158,23,0.152,23,0.152,19,-0.021,19,-0.021,WAS,,18,0.02,18,0.02,24,-0.122,24,-0.122,12,-0.09,12,-0.09,6,0.052,6,0.052,0,145,-167
NE,,20,-0.053,20,-0.053,18,-0.036,18,-0.036,16,-0.014,16,-0.014,22,-0.031,22,-0.031,NYJ,,26,-0.405,26,-0.405,28,-0.316,28,-0.316,21,0.081,21,0.081,15,-0.008,15,-0.008,0,-235,200
BAL,,21,-0.055,21,-0.055,23,-0.122,23,-0.122,17,0.018,17,0.018,3,0.085,3,0.085,KC,,22,-0.078,22,-0.078,4,0.321,4,0.321,31,0.419,31,0.419,10,0.02,10,0.02,1,163,-186
KC,,22,-0.078,22,-0.078,4,0.321,4,0.321,31,0.419,31,0.419,10,0.02,10,0.02,BAL,,21,-0.055,21,-0.055,23,-0.122,23,-0.122,17,0.018,17,0.018,3,0.085,3,0.085,0,-186,163
DAL,,23,-0.086,23,-0.086,8,0.229,8,0.229,22,0.136,22,0.136,32,-0.18,32,-0.18,LAC,,15,0.057,15,0.057,20,-0.049,20,-0.049,7,-0.146,7,-0.146,24,-0.04,24,-0.04,0,150,-175
BUF,,24,-0.2,24,-0.2,27,-0.261,27,-0.261,8,-0.131,8,-0.131,28,-0.07,28,-0.07,MIA,,10,0.178,10,0.178,14,0.05,14,0.05,10,-0.098,10,-0.098,8,0.03,8,0.03,0,-177,150
IND,,25,-0.268,25,-0.268,19,-0.037,19,-0.037,25,0.235,25,0.235,13,0.004,13,0.004,LAR,,2,0.672,2,0.672,2,0.566,2,0.566,11,-0.091,11,-0.091,11,0.015,11,0.015,1,160,-182
NYJ,,26,-0.405,26,-0.405,28,-0.316,28,-0.316,21,0.081,21,0.081,15,-0.008,15,-0.008,NE,,20,-0.053,20,-0.053,18,-0.036,18,-0.036,16,-0.014,16,-0.014,22,-0.031,22,-0.031,1,200,-235
JAX,,27,-0.418,27,-0.418,29,-0.388,29,-0.388,15,-0.021,15,-0.021,26,-0.051,26,-0.051,DEN,,9,0.209,9,0.209,6,0.266,6,0.266,20,0.058,20,0.058,14,0.002,14,0.002,1,215,-250
CHI,,28,-0.509,28,-0.509,22,-0.072,22,-0.072,32,0.452,32,0.452,12,0.015,12,0.015,CIN,,12,0.156,12,0.156,12,0.128,12,0.128,19,0.053,19,0.053,4,0.081,4,0.081,1,-141,123
DET,,29,-0.546,29,-0.546,25,-0.129,25,-0.129,30,0.359,30,0.359,27,-0.059,27,-0.059,GB,,32,-0.946,32,-0.946,32,-0.589,32,-0.589,29,0.319,29,0.319,23,-0.038,23,-0.038,0,400,-500
