Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
CAR,1,1,0.475,1,0.475,15,0.041,15,0.041,1,-0.52,1,-0.52,31,-0.087,31,-0.087,HOU,0,18,0.05,18,0.05,16,0.024,16,0.024,15,-0.067,15,-0.067,26,-0.042,26,-0.042,0,-400,355
LAR,1,2,0.43,2,0.43,5,0.32,5,0.32,4,-0.199,4,-0.199,32,-0.089,32,-0.089,TB,0,3,0.411,3,0.411,6,0.259,6,0.259,12,-0.088,12,-0.088,4,0.064,4,0.064,1,107,-121
TB,0,3,0.411,3,0.411,6,0.259,6,0.259,12,-0.088,12,-0.088,4,0.064,4,0.064,LAR,1,2,0.43,2,0.43,5,0.32,5,0.32,4,-0.199,4,-0.199,32,-0.089,32,-0.089,0,-121,107
DEN,1,4,0.389,4,0.389,4,0.329,4,0.329,10,-0.129,10,-0.129,29,-0.069,29,-0.069,NYJ,0,28,-0.369,28,-0.369,29,-0.352,29,-0.352,17,0,17,0,21,-0.017,21,-0.017,1,-560,445
ARI,1,5,0.324,5,0.324,10,0.114,10,0.114,6,-0.162,6,-0.162,8,0.047,8,0.047,JAX,0,31,-0.532,31,-0.532,31,-0.406,31,-0.406,24,0.14,24,0.14,13,0.013,13,0.013,0,-385,320
SF,0,6,0.288,6,0.288,8,0.186,8,0.186,13,-0.086,13,-0.086,11,0.017,11,0.017,GB,1,25,-0.245,25,-0.245,19,-0.026,19,-0.026,28,0.217,28,0.217,15,-0.003,15,-0.003,1,-175,150
SEA,0,7,0.254,7,0.254,3,0.33,3,0.33,19,0.052,19,0.052,23,-0.024,23,-0.024,MIN,1,20,0.004,20,0.004,14,0.054,14,0.054,21,0.063,21,0.063,12,0.014,12,0.014,0,-121,106
PHI,0,8,0.219,8,0.219,13,0.086,13,0.086,8,-0.14,8,-0.14,16,-0.007,16,-0.007,DAL,1,14,0.084,14,0.084,7,0.244,7,0.244,22,0.105,22,0.105,28,-0.056,28,-0.056,0,160,-182
CLE,1,9,0.211,9,0.211,1,0.401,1,0.401,25,0.16,25,0.16,24,-0.031,24,-0.031,CHI,0,23,-0.089,23,-0.089,28,-0.263,28,-0.263,9,-0.14,9,-0.14,9,0.035,9,0.035,1,-305,255
WAS,0,10,0.197,10,0.197,9,0.131,9,0.131,18,0.016,18,0.016,2,0.081,2,0.081,BUF,1,13,0.143,13,0.143,26,-0.195,26,-0.195,2,-0.371,2,-0.371,25,-0.034,25,-0.034,0,290,-345
NE,0,11,0.185,11,0.185,21,-0.048,21,-0.048,3,-0.24,3,-0.24,17,-0.007,17,-0.007,NO,1,12,0.143,12,0.143,24,-0.14,24,-0.14,5,-0.197,5,-0.197,1,0.086,1,0.086,1,-148,130
