Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,1.000,1.000,0.333,2.000,0.344,7.000,0.107,7.000,0.094,2.000,-0.190,2.000,-0.217,5.000,0.036,8.000,0.032,CHI,0.000,15.000,-0.006,15.000,0.017,25.000,-0.106,21.000,-0.067,8.000,-0.075,13.000,-0.038,8.000,0.026,6.000,0.047,1.000,-700.000,500.000
TB,1.000,2.000,0.315,3.000,0.336,3.000,0.198,2.000,0.246,5.000,-0.146,6.000,-0.120,26.000,-0.029,26.000,-0.030,WAS,0.000,16.000,-0.023,13.000,0.036,32.000,-0.218,32.000,-0.207,3.000,-0.184,3.000,-0.210,15.000,0.011,7.000,0.034,0.000,-480.000,390.000
GB,1.000,3.000,0.258,4.000,0.314,1.000,0.291,1.000,0.316,17.000,0.005,14.000,-0.035,25.000,-0.027,28.000,-0.038,LAR,0.000,9.000,0.154,8.000,0.141,10.000,0.044,17.000,-0.048,4.000,-0.170,1.000,-0.242,30.000,-0.060,29.000,-0.053,1.000,-350.000,290.000
BUF,1.000,4.000,0.238,1.000,0.345,5.000,0.156,5.000,0.178,12.000,-0.022,8.000,-0.080,4.000,0.059,2.000,0.087,IND,0.000,10.000,0.142,9.000,0.135,12.000,0.027,10.000,0.064,7.000,-0.095,10.000,-0.060,10.000,0.020,15.000,0.010,1.000,-350.000,290.000
SEA,0.000,5.000,0.201,5.000,0.220,6.000,0.137,6.000,0.096,16.000,0.004,11.000,-0.052,3.000,0.068,3.000,0.072,LAR,1.000,9.000,0.154,8.000,0.141,10.000,0.044,17.000,-0.048,4.000,-0.170,1.000,-0.242,30.000,-0.060,29.000,-0.053,1.000,-175.000,155.000
KC,1.000,6.000,0.196,6.000,0.195,2.000,0.239,3.000,0.234,22.000,0.049,24.000,0.066,17.000,0.005,11.000,0.026,CLE,0.000,18.000,-0.057,18.000,-0.008,9.000,0.054,8.000,0.081,25.000,0.074,25.000,0.070,27.000,-0.037,23.000,-0.019,1.000,-410.000,340.000
BAL,0.000,7.000,0.185,7.000,0.157,11.000,0.043,9.000,0.072,9.000,-0.069,15.000,-0.026,2.000,0.074,4.000,0.059,BUF,1.000,4.000,0.238,1.000,0.345,5.000,0.156,5.000,0.178,12.000,-0.022,8.000,-0.080,4.000,0.059,2.000,0.087,0.000,115.000,-135.000
PIT,0.000,8.000,0.168,10.000,0.134,22.000,-0.047,22.000,-0.079,1.000,-0.202,4.000,-0.200,14.000,0.013,14.000,0.014,CLE,1.000,18.000,-0.057,18.000,-0.008,9.000,0.054,8.000,0.081,25.000,0.074,25.000,0.070,27.000,-0.037,23.000,-0.019,1.000,-240.000,200.000
LAR,0.000,9.000,0.154,8.000,0.141,10.000,0.044,17.000,-0.048,4.000,-0.170,1.000,-0.242,30.000,-0.060,29.000,-0.053,GB,1.000,3.000,0.258,4.000,0.314,1.000,0.291,1.000,0.316,17.000,0.005,14.000,-0.035,25.000,-0.027,28.000,-0.038,1.000,290.000,-350.000
IND,1.000,10.000,0.142,9.000,0.135,12.000,0.027,10.000,0.064,7.000,-0.095,10.000,-0.060,10.000,0.020,15.000,0.010,BUF,1.000,4.000,0.238,1.000,0.345,5.000,0.156,5.000,0.178,12.000,-0.022,8.000,-0.080,4.000,0.059,2.000,0.087,0.000,290.000,-350.000
TEN,0.000,14.000,0.025,12.000,0.042,4.000,0.184,4.000,0.191,29.000,0.115,29.000,0.122,28.000,-0.044,25.000,-0.026,BAL,1.000,7.000,0.185,7.000,0.157,11.000,0.043,9.000,0.072,9.000,-0.069,15.000,-0.026,2.000,0.074,4.000,0.059,0.000,170.000,-190.000
CHI,0.000,15.000,-0.006,15.000,0.017,25.000,-0.106,21.000,-0.067,8.000,-0.075,13.000,-0.038,8.000,0.026,6.000,0.047,NO,1.000,1.000,0.333,2.000,0.344,7.000,0.107,7.000,0.094,2.000,-0.190,2.000,-0.217,5.000,0.036,8.000,0.032,0.000,500.000,-700.000
WAS,0.000,16.000,-0.023,13.000,0.036,32.000,-0.218,32.000,-0.207,3.000,-0.184,3.000,-0.210,15.000,0.011,7.000,0.034,TB,1.000,2.000,0.315,3.000,0.336,3.000,0.198,2.000,0.246,5.000,-0.146,6.000,-0.120,26.000,-0.029,26.000,-0.030,1.000,390.000,-480.000
CLE,0.000,18.000,-0.057,18.000,-0.008,9.000,0.054,8.000,0.081,25.000,0.074,25.000,0.070,27.000,-0.037,23.000,-0.019,KC,1.000,6.000,0.196,6.000,0.195,2.000,0.239,3.000,0.234,22.000,0.049,24.000,0.066,17.000,0.005,11.000,0.026,0.000,340.000,-410.000
BUF,1.000,4.000,0.238,1.000,0.345,5.000,0.156,5.000,0.178,12.000,-0.022,8.000,-0.080,4.000,0.059,2.000,0.087,BAL,0.000,7.000,0.185,7.000,0.157,11.000,0.043,9.000,0.072,9.000,-0.069,15.000,-0.026,2.000,0.074,4.000,0.059,1.000,-135.000,115.000
BUF,0.000,4.000,0.238,1.000,0.345,5.000,0.156,5.000,0.178,12.000,-0.022,8.000,-0.080,4.000,0.059,2.000,0.087,KC,1.000,6.000,0.196,6.000,0.195,2.000,0.239,3.000,0.234,22.000,0.049,24.000,0.066,17.000,0.005,11.000,0.026,0.000,140.000,-160.000
TB,1.000,2.000,0.315,3.000,0.336,3.000,0.198,2.000,0.246,5.000,-0.146,6.000,-0.120,26.000,-0.029,26.000,-0.030,NO,0.000,1.000,0.333,2.000,0.344,7.000,0.107,7.000,0.094,2.000,-0.190,2.000,-0.217,5.000,0.036,8.000,0.032,0.000,130.000,-150.000
