Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
NO,1.000,1.000,0.290,1.000,0.310,9.000,0.070,9.000,0.060,2.000,-0.180,2.000,-0.220,6.000,0.040,8.000,0.030,MIN,0.000,18.000,-0.040,21.000,-0.070,11.000,0.050,11.000,0.040,13.000,-0.010,15.000,-0.010,31.000,-0.090,31.000,-0.110,1.000,-300.000,250.000
TB,1.000,2.000,0.260,4.000,0.220,5.000,0.140,5.000,0.140,5.000,-0.130,7.000,-0.090,24.000,-0.010,22.000,-0.010,DET,0.000,25.000,-0.140,27.000,-0.190,14.000,0.020,16.000,0.000,32.000,0.160,32.000,0.190,15.000,0.010,17.000,0.010,0.000,-700.000,500.000
KC,1.000,3.000,0.230,2.000,0.250,1.000,0.260,1.000,0.270,17.000,0.030,20.000,0.040,17.000,0.000,14.000,0.010,ATL,0.000,20.000,-0.050,17.000,-0.020,21.000,-0.050,20.000,-0.070,12.000,-0.010,11.000,-0.050,21.000,-0.010,21.000,-0.010,1.000,-600.000,450.000
GB,1.000,4.000,0.200,5.000,0.220,2.000,0.260,2.000,0.270,18.000,0.040,17.000,0.010,26.000,-0.020,26.000,-0.030,TEN,0.000,12.000,0.090,11.000,0.120,3.000,0.240,3.000,0.250,28.000,0.100,29.000,0.100,29.000,-0.050,27.000,-0.030,1.000,-170.000,150.000
PIT,1.000,5.000,0.190,8.000,0.170,22.000,-0.060,21.000,-0.090,1.000,-0.240,1.000,-0.250,12.000,0.020,13.000,0.010,IND,0.000,8.000,0.170,7.000,0.170,12.000,0.020,10.000,0.040,6.000,-0.120,5.000,-0.110,7.000,0.030,10.000,0.030,1.000,-110.000,-110.000
LAR,0.000,6.000,0.180,6.000,0.200,7.000,0.100,8.000,0.070,4.000,-0.150,3.000,-0.200,30.000,-0.070,30.000,-0.070,SEA,1.000,9.000,0.170,9.000,0.150,4.000,0.140,6.000,0.110,20.000,0.040,18.000,0.020,3.000,0.070,2.000,0.070,0.000,105.000,-125.000
BUF,1.000,7.000,0.180,3.000,0.230,6.000,0.140,4.000,0.150,14.000,0.000,13.000,-0.030,5.000,0.040,4.000,0.050,NE,0.000,21.000,-0.070,20.000,-0.050,24.000,-0.090,25.000,-0.120,23.000,0.060,21.000,0.050,1.000,0.090,1.000,0.120,0.000,-350.000,290.000
IND,0.000,8.000,0.170,7.000,0.170,12.000,0.020,10.000,0.040,6.000,-0.120,5.000,-0.110,7.000,0.030,10.000,0.030,PIT,1.000,5.000,0.190,8.000,0.170,22.000,-0.060,21.000,-0.090,1.000,-0.240,1.000,-0.250,12.000,0.020,13.000,0.010,0.000,-110.000,-110.000
SEA,1.000,9.000,0.170,9.000,0.150,4.000,0.140,6.000,0.110,20.000,0.040,18.000,0.020,3.000,0.070,2.000,0.070,LAR,0.000,6.000,0.180,6.000,0.200,7.000,0.100,8.000,0.070,4.000,-0.150,3.000,-0.200,30.000,-0.070,30.000,-0.070,1.000,-125.000,105.000
BAL,1.000,10.000,0.160,12.000,0.120,15.000,0.020,14.000,0.010,8.000,-0.070,12.000,-0.040,2.000,0.080,3.000,0.070,NYG,0.000,27.000,-0.160,26.000,-0.140,27.000,-0.140,27.000,-0.130,19.000,0.040,16.000,0.010,11.000,0.020,16.000,0.010,1.000,-450.000,375.000
