Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
TB,1.00,1.00,0.45,1.00,0.46,6.00,0.15,6.00,0.15,1.00,-0.30,1.00,-0.30,14.00,0.01,14.00,0.01,NYG,0.00,29.00,-0.25,29.00,-0.25,30.00,-0.25,30.00,-0.25,19.00,0.04,19.00,0.05,6.00,0.04,6.00,0.05,0.00,-750.00,525.00
BAL,0.00,2.00,0.33,2.00,0.32,19.00,0.01,19.00,0.00,3.00,-0.19,4.00,-0.18,1.00,0.13,1.00,0.13,PIT,1.00,3.00,0.27,3.00,0.28,17.00,0.03,17.00,0.03,2.00,-0.19,2.00,-0.20,5.00,0.05,4.00,0.05,1.00,-200.00,175.00
PIT,1.00,3.00,0.27,3.00,0.28,17.00,0.03,17.00,0.03,2.00,-0.19,2.00,-0.20,5.00,0.05,4.00,0.05,BAL,0.00,2.00,0.33,2.00,0.32,19.00,0.01,19.00,0.00,3.00,-0.19,4.00,-0.18,1.00,0.13,1.00,0.13,0.00,175.00,-200.00
KC,1.00,4.00,0.26,4.00,0.26,1.00,0.25,1.00,0.26,13.00,-0.02,13.00,-0.03,24.00,-0.02,24.00,-0.02,NYJ,0.00,32.00,-0.44,32.00,-0.45,32.00,-0.32,32.00,-0.32,20.00,0.06,22.00,0.06,30.00,-0.06,30.00,-0.06,1.00,-5000.00,1500.00
IND,1.00,5.00,0.23,5.00,0.24,22.00,-0.03,22.00,-0.03,4.00,-0.19,3.00,-0.19,2.00,0.08,2.00,0.08,DET,0.00,15.00,0.03,14.00,0.03,18.00,0.02,18.00,0.02,18.00,0.03,17.00,0.02,8.00,0.03,8.00,0.03,0.00,-190.00,170.00
NO,1.00,6.00,0.21,7.00,0.21,7.00,0.11,8.00,0.11,10.00,-0.06,10.00,-0.05,7.00,0.04,7.00,0.04,CHI,0.00,17.00,-0.02,17.00,-0.02,26.00,-0.17,27.00,-0.17,6.00,-0.15,6.00,-0.16,19.00,-0.01,18.00,-0.01,0.00,-250.00,210.00
LAR,0.00,7.00,0.21,6.00,0.21,5.00,0.19,5.00,0.19,11.00,-0.04,11.00,-0.05,25.00,-0.03,25.00,-0.03,MIA,1.00,13.00,0.09,13.00,0.10,16.00,0.03,16.00,0.04,14.00,0.01,14.00,0.00,3.00,0.06,3.00,0.06,0.00,-170.00,150.00
SF,0.00,8.00,0.20,8.00,0.20,8.00,0.11,7.00,0.11,8.00,-0.08,8.00,-0.08,12.00,0.01,12.00,0.01,SEA,1.00,9.00,0.17,9.00,0.17,2.00,0.21,3.00,0.21,28.00,0.09,27.00,0.09,4.00,0.05,5.00,0.05,0.00,100.00,-120.00
SEA,1.00,9.00,0.17,9.00,0.17,2.00,0.21,3.00,0.21,28.00,0.09,27.00,0.09,4.00,0.05,5.00,0.05,SF,0.00,8.00,0.20,8.00,0.20,8.00,0.11,7.00,0.11,8.00,-0.08,8.00,-0.08,12.00,0.01,12.00,0.01,1.00,-120.00,100.00
GB,0.00,10.00,0.15,10.00,0.15,4.00,0.20,4.00,0.19,22.00,0.06,20.00,0.06,13.00,0.01,13.00,0.01,MIN,1.00,18.00,-0.03,18.00,-0.02,21.00,0.00,20.00,0.00,15.00,0.02,15.00,0.01,20.00,-0.01,20.00,-0.01,1.00,-260.00,220.00
