RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,MIN,5.07,4.88,57%,27,14%,6,1.43,3,0.83,11,26,39,7.7%
2,TEN,4.97,5.17,71%,10,15%,9,1.44,2,1.14,3,11,25,5.5%
3,NE,4.94,4.82,78%,4,14%,3,1.38,4,0.81,13,28,37,8.0%
4,NO,4.89,4.69,78%,2,14%,2,1.28,12,0.82,12,13,29,6.1%
5,GB,4.85,5.03,66%,19,14%,1,1.37,5,1.04,5,6,21,5.0%
6,CLE,4.79,4.91,56%,28,19%,24,1.45,1,1.10,4,16,26,6.5%
7,LAR,4.66,4.34,69%,12,19%,30,1.18,17,0.78,15,2,25,4.2%
8,BAL,4.58,5.21,75%,5,14%,5,1.30,9,1.24,1,23,32,7.5%
9,TB,4.55,4.57,88%,1,14%,4,1.15,21,0.97,6,3,22,4.3%
10,SEA,4.53,4.35,62%,22,17%,17,1.33,6,0.58,23,30,48,8.2%
11,JAX,4.48,4.41,73%,7,15%,7,1.22,15,0.68,19,25,44,7.6%
12,DAL,4.48,4.08,71%,11,19%,23,1.12,23,0.54,27,14,44,6.1%
13,CAR,4.43,3.85,73%,6,16%,13,1.17,19,0.32,32,17,36,6.6%
14,KC,4.38,4.22,51%,32,18%,20,1.32,7,0.48,30,4,24,4.5%
15,BUF,4.36,4.49,66%,17,17%,15,1.26,13,0.87,9,5,27,4.8%
16,WAS,4.35,4.06,73%,7,15%,11,1.20,16,0.51,28,22,50,7.3%
17,NYJ,4.34,3.88,62%,22,15%,10,1.09,25,0.33,31,29,43,8.1%
18,LV,4.32,4.10,63%,21,17%,19,1.18,18,0.61,21,10,28,5.5%
19,DET,4.30,4.07,67%,14,17%,18,1.06,29,0.62,20,21,42,7.2%
20,IND,4.23,4.60,66%,17,18%,22,1.31,8,0.97,7,7,21,5.2%
21,NYG,4.20,4.05,66%,20,17%,14,1.11,24,0.60,22,27,50,7.9%
22,SF,4.20,4.31,56%,29,21%,31,1.29,10,0.78,14,9,39,5.5%
23,PHI,4.19,4.86,73%,9,16%,12,1.29,11,1.18,2,31,65,9.4%
24,MIA,4.18,3.95,67%,13,18%,21,1.08,26,0.50,29,20,34,6.9%
25,CHI,4.16,4.39,60%,25,19%,29,1.16,20,0.84,10,15,36,6.2%
26,ATL,4.12,3.90,57%,26,17%,16,1.02,30,0.55,26,18,41,6.7%
27,HOU,4.02,4.04,67%,14,15%,8,0.94,32,0.68,18,32,50,9.5%
28,DEN,4.02,4.46,78%,3,21%,32,1.26,14,0.87,8,19,32,6.8%
29,LAC,4.00,3.90,54%,31,19%,27,1.07,28,0.57,24,12,34,6.1%
30,ARI,3.91,4.16,66%,16,19%,25,1.08,27,0.74,16,8,29,5.4%
31,CIN,3.88,3.92,61%,24,19%,26,1.13,22,0.56,25,24,48,7.6%
32,PIT,3.78,3.82,56%,30,19%,28,1.02,31,0.72,17,1,14,2.7%
,NFL,33,4.38,66%,33,17%,33,1.02,33,0.63,33,33,35,6.4%

