Team,Rank,Left Rank,Left,Middle Rank,Middle,Right Rank,Right,Deep Rank,Deep,Short Rank,Short,Deep Left,Deep Mid,Deep Right,Short Left,Short Mid,Short Right
PIT,1,8,-12.8%,3,-13.4%,2,-27.4%,9,13.2%,1,-25.7%,12.0%,-2.0%,24.3%,-17.8%,-15.8%,-44.2%
WAS,2,2,-20.3%,5,-8.3%,9,-11.4%,16,26.6%,2,-22.8%,22.3%,32.8%,26.1%,-30.3%,-17.5%,-19.7%
NO,3,9,-11.2%,9,-3.0%,5,-23.5%,3,-1.7%,3,-17.9%,-35.2%,35.9%,12.1%,-4.2%,-13.7%,-33.4%
LAR,4,18,0.4%,22,11.7%,1,-43.4%,1,-27.3%,15,-8.4%,-6.8%,6.0%,-97.9%,2.0%,12.5%,-36.5%
TB,5,26,9.7%,8,-4.6%,4,-25.4%,12,24.5%,7,-13.4%,43.2%,22.1%,3.2%,2.9%,-10.7%,-29.6%
MIA,6,3,-18.0%,26,23.2%,8,-11.8%,7,10.6%,10,-11.2%,-53.4%,68.8%,54.8%,-7.4%,13.3%,-29.9%
SF,7,7,-14.5%,11,-1.0%,12,-7.3%,20,32.5%,4,-17.5%,22.4%,144.7%,7.6%,-22.5%,-21.9%,-10.4%
IND,8,4,-17.9%,23,15.8%,10,-10.5%,27,43.8%,5,-16.7%,55.9%,55.5%,29.3%,-33.5%,6.3%,-21.9%
ARI,9,17,-1.6%,20,8.8%,26,7.2%,5,3.1%,30,4.4%,6.8%,-21.7%,8.2%,-3.2%,13.7%,6.9%
BAL,10,10,-9.4%,6,-6.5%,14,-6.7%,6,8.0%,11,-10.9%,10.4%,6.8%,6.8%,-13.6%,-7.9%,-11.5%
DEN,11,12,-7.4%,1,-23.8%,29,8.9%,13,25.1%,12,-10.9%,26.2%,69.7%,11.4%,-16.3%,-35.2%,8.3%
BUF,12,13,-7.1%,13,2.1%,7,-12.7%,15,26.2%,9,-11.6%,79.2%,-39.7%,27.2%,-17.5%,7.4%,-20.4%
CHI,13,14,-4.9%,18,6.3%,6,-21.4%,14,25.4%,8,-13.0%,23.2%,34.8%,13.7%,-13.7%,-0.1%,-26.2%
MIN,14,16,-2.0%,7,-6.0%,17,-1.2%,26,43.7%,6,-14.7%,27.8%,41.8%,60.6%,-10.2%,-17.2%,-17.7%
GB,15,20,5.9%,19,7.7%,3,-26.9%,11,21.2%,14,-10.4%,56.3%,5.1%,4.8%,-3.3%,8.2%,-33.5%
KC,16,5,-17.3%,27,23.8%,16,-2.4%,2,-7.1%,24,-0.3%,-45.0%,56.3%,8.4%,-7.1%,16.7%,-5.0%
LAC,17,11,-8.5%,29,30.6%,11,-8.0%,10,16.1%,19,-4.9%,2.1%,72.4%,9.2%,-10.9%,22.9%,-13.8%
NE,18,1,-20.9%,16,5.2%,15,-2.7%,4,2.4%,13,-10.7%,-71.0%,26.5%,43.0%,-10.9%,0.4%,-17.2%
ATL,19,31,21.9%,4,-12.4%,18,0.0%,21,33.1%,22,-1.1%,67.4%,3.3%,13.6%,9.4%,-16.1%,-3.6%
SEA,20,15,-4.7%,31,37.2%,13,-7.0%,19,29.3%,25,0.2%,28.5%,76.1%,2.3%,-10.8%,30.3%,-8.8%
DAL,21,32,29.3%,21,9.5%,21,4.7%,30,66.8%,26,1.1%,99.3%,50.9%,54.0%,15.1%,-2.4%,-9.8%
NYG,22,22,7.7%,17,6.0%,27,7.3%,17,27.6%,29,3.1%,-16.4%,56.2%,48.5%,12.6%,-2.8%,-0.8%
CAR,23,6,-16.4%,28,29.2%,25,6.7%,23,40.0%,17,-5.7%,5.2%,71.5%,62.8%,-22.1%,18.6%,-3.1%
PHI,24,30,14.9%,25,20.8%,30,12.9%,32,80.4%,27,2.0%,66.6%,91.5%,92.8%,3.0%,10.6%,-3.2%
CLE,25,24,8.9%,15,4.5%,19,3.0%,28,55.0%,16,-7.1%,72.0%,10.5%,59.8%,-8.9%,3.2%,-11.6%
LV,26,29,13.2%,12,1.5%,28,7.8%,29,59.2%,21,-3.3%,52.2%,76.9%,55.1%,3.3%,-12.9%,-2.3%
CIN,27,27,10.6%,2,-23.5%,24,6.3%,8,12.0%,20,-3.4%,9.9%,29.5%,6.2%,10.8%,-32.5%,6.3%
NYJ,28,23,8.0%,24,17.1%,22,5.8%,24,42.5%,28,2.7%,19.4%,48.5%,63.6%,5.8%,12.2%,-5.3%
HOU,29,25,9.0%,32,38.9%,32,22.3%,22,37.6%,32,16.1%,30.8%,95.4%,28.4%,2.9%,31.7%,20.7%
TEN,30,19,4.9%,10,-2.3%,20,4.0%,25,42.8%,18,-5.6%,50.5%,21.3%,44.2%,-5.8%,-5.8%,-5.2%
JAX,31,21,7.3%,14,2.8%,23,5.8%,18,27.7%,23,-0.5%,25.3%,-30.5%,50.6%,2.2%,8.8%,-10.0%
DET,32,28,13.2%,30,35.4%,31,16.5%,31,68.9%,31,6.8%,92.1%,34.9%,67.5%,-5.0%,35.6%,2.9%
-,NFL,-,-0.7%,-,6.6%,-,-3.4%,-,28.5%,-,-6.5%,22.2%,36.7%,30.3%,-6.1%,0.9%,-11.6%

