Team,Def. Pass DVOA,DVOA Rank,DVOA,Pa/G,Yd/G,DVOA Rank,DVOA,Pa/G,Yd/G,DVOA Rank,DVOA,Pa/G,Yd/G,DVOA Rank,DVOA,Pa/G,Yd/G,DVOA Rank,DVOA,Pa/G,Yd/G
PIT,1,24,13.3%,7.3,67.4,4,-16.2%,6.4,43.3,2,-27.6%,7.3,51.4,1,-48.4%,6.9,46.8,14,-3.8%,4.7,22.9
WAS,2,27,14.1%,7.9,68.0,2,-30.0%,5.5,46.8,3,-24.3%,6.5,45.5,17,4.0%,6.2,44.1,1,-46.9%,6.0,24.9
NO,3,11,-10.7%,7.3,63.7,11,-8.9%,6.9,57.1,15,-1.4%,7.1,55.8,2,-34.7%,7.7,42.5,9,-9.7%,4.9,24.5
LAR,4,13,-4.6%,7.6,55.3,1,-33.5%,5.1,32.6,14,-1.8%,6.2,55.9,10,-11.1%,7.4,46.9,7,-10.9%,6.9,37.5
TB,5,6,-15.5%,9.2,79.5,22,5.9%,6.8,63.4,1,-28.6%,5.8,33.4,25,11.5%,7.4,53.6,5,-16.1%,7.7,41.4
MIA,6,17,-2.2%,6.8,63.7,7,-14.3%,6.8,75.4,9,-11.3%,6.5,57.5,7,-13.1%,7.7,47.5,26,14.8%,5.6,37.0
SF,7,1,-25.4%,8.0,60.1,17,0.5%,5.5,51.2,23,9.3%,6.0,51.8,3,-25.1%,6.4,33.9,19,1.7%,6.0,36.1
IND,8,18,1.4%,7.5,62.1,8,-11.2%,6.5,61.6,17,4.0%,6.4,62.1,4,-18.0%,6.9,44.6,18,1.5%,7.5,38.9
ARI,9,20,4.1%,8.2,64.0,23,10.3%,6.2,60.9,10,-7.7%,6.3,47.6,15,0.2%,8.2,53.8,30,17.5%,5.9,39.5
BAL,10,3,-22.8%,7.9,56.2,16,-0.6%,6.6,57.0,5,-20.9%,7.6,53.0,22,6.8%,7.4,56.6,21,3.8%,6.9,39.3
DEN,11,8,-13.2%,8.5,59.6,15,-2.7%,6.1,55.1,21,7.4%,6.6,52.0,18,4.7%,7.4,56.6,4,-16.7%,6.2,33.1
BUF,12,23,13.0%,7.9,67.4,3,-22.8%,6.6,50.0,4,-21.7%,6.9,45.6,13,-2.6%,8.3,61.1,15,-3.5%,6.4,36.9
CHI,13,2,-24.1%,7.5,57.2,10,-10.1%,6.1,43.8,32,30.1%,6.1,52.7,19,5.3%,8.2,58.9,2,-34.7%,5.4,29.0
MIN,14,28,18.4%,7.8,80.3,9,-10.3%,5.0,34.7,22,7.8%,6.5,57.3,6,-15.3%,6.7,59.6,3,-24.4%,6.3,29.7
GB,15,10,-11.1%,6.4,48.3,24,10.6%,5.4,46.2,6,-20.0%,7.4,51.1,8,-12.0%,6.4,47.2,27,15.3%,6.7,44.6
KC,16,9,-11.2%,6.7,59.0,13,-2.8%,4.9,35.1,7,-18.1%,7.4,52.2,14,-2.1%,7.5,61.7,31,33.3%,6.6,48.3
LAC,17,5,-17.1%,9.0,57.1,27,15.4%,5.3,50.0,16,1.1%,5.2,46.1,20,5.4%,6.5,46.4,17,-0.3%,7.4,38.7
NE,18,7,-13.9%,6.7,66.5,14,-2.8%,6.2,53.1,13,-3.3%,5.6,36.3,9,-11.8%,6.7,48.8,10,-6.8%,6.0,28.9
ATL,19,26,13.8%,9.0,85.0,26,13.2%,6.9,63.6,11,-5.4%,8.3,59.7,23,10.7%,8.1,60.2,13,-4.8%,6.8,38.2
SEA,20,21,9.5%,8.7,80.8,12,-8.9%,7.5,58.9,25,14.3%,9.1,77.2,11,-7.6%,7.5,55.5,28,15.8%,7.4,40.4
DAL,21,25,13.5%,8.3,86.3,32,38.8%,5.3,63.2,18,5.8%,5.4,43.0,29,21.8%,5.8,47.5,6,-15.9%,5.3,23.7
NYG,22,14,-3.8%,7.3,56.2,21,3.0%,6.3,56.4,31,29.9%,6.1,55.0,24,11.4%,7.1,54.8,11,-5.7%,7.8,49.4
CAR,23,12,-10.1%,9.9,72.9,20,1.1%,5.0,36.6,24,13.3%,6.6,45.9,16,2.2%,7.9,56.2,29,16.3%,6.7,41.1
PHI,24,32,26.3%,6.6,69.3,31,28.4%,6.3,67.4,20,7.2%,6.8,52.1,26,14.9%,7.0,53.9,8,-10.2%,5.5,31.3
CLE,25,4,-18.8%,9.2,65.0,18,0.8%,6.0,58.2,30,20.0%,6.7,65.9,28,18.3%,8.6,61.6,23,7.6%,5.8,34.3
LV,26,29,20.4%,7.4,76.4,25,11.9%,5.4,44.1,29,19.7%,7.8,62.0,5,-15.4%,7.7,53.3,20,2.5%,7.3,44.4
CIN,27,16,-2.5%,7.4,58.2,6,-14.7%,6.4,51.3,27,16.9%,7.1,59.0,12,-6.3%,7.0,63.5,24,8.0%,5.4,26.8
NYJ,28,22,12.6%,8.3,86.6,29,22.5%,6.4,57.3,12,-4.9%,6.0,39.9,27,16.5%,7.9,66.8,12,-5.6%,8.1,40.8
HOU,29,31,23.6%,8.6,84.5,30,23.8%,5.6,51.3,26,14.7%,5.9,42.8,31,25.8%,6.8,54.6,25,10.1%,6.9,44.9
TEN,30,15,-2.7%,9.2,75.6,19,1.0%,7.2,57.7,8,-14.8%,7.9,67.2,32,36.6%,6.5,53.8,22,5.9%,6.7,37.1
JAX,31,19,3.1%,9.0,89.9,5,-15.8%,5.7,51.1,28,19.7%,5.3,42.0,30,25.5%,6.1,58.9,16,-3.2%,6.8,41.8
DET,32,30,21.2%,8.0,87.2,28,19.4%,7.0,72.9,19,6.2%,7.0,53.0,21,6.2%,6.1,42.8,32,46.2%,6.2,47.9
,NFL,-,0.0%,8.0,69.0,-,0.0%,6.1,53.3,-,0.0%,6.7,52.2,-,0.0%,7.2,52.9,-,0.0%,6.4,36.7

