RK,Team,Carries,Freq,ALY,Rank,Freq,ALY,Rank,Freq,ALY,Rank,Freq,ALY,Rank,Freq,ALY,Rank
1,MIN,432,14%,5.76,2,15%,4.62,10,47%,4.77,6,15%,5.53,1,10%,5.52,7
2,TEN,462,14%,4.58,11,16%,4.20,16,39%,4.94,3,13%,5.43,3,17%,5.73,4
3,NE,341,14%,4.58,13,8%,5.09,4,60%,4.94,2,9%,4.69,9,9%,5.61,5
4,NO,367,8%,2.92,30,13%,4.97,5,58%,4.98,1,16%,5.45,2,5%,5.24,11
5,GB,384,11%,5.02,5,14%,4.88,8,52%,4.87,5,12%,4.96,8,11%,4.43,18
6,CLE,433,10%,4.71,8,16%,5.50,2,53%,4.50,14,17%,4.60,12,5%,6.49,1
7,LAR,384,11%,5.08,4,14%,4.18,17,41%,4.59,9,18%,5.13,7,16%,4.45,17
8,BAL,362,12%,4.68,10,11%,4.54,12,46%,4.45,16,18%,4.00,22,13%,5.99,2
9,TB,325,6%,4.46,16,11%,3.44,26,62%,4.64,7,15%,4.61,10,7%,5.37,9
10,SEA,317,18%,4.38,19,9%,4.57,11,54%,4.87,4,9%,4.41,16,10%,3.01,30
11,JAX,281,12%,4.58,12,7%,5.74,1,65%,4.61,8,5%,5.15,6,11%,2.54,31
12,DAL,352,8%,4.68,9,19%,4.96,6,48%,4.32,19,17%,4.50,14,8%,4.04,23
13,CAR,295,9%,4.46,15,13%,5.18,3,59%,4.24,21,12%,4.14,20,8%,5.07,13
14,KC,317,13%,4.82,6,8%,2.71,31,56%,4.56,12,6%,4.20,18,16%,4.32,21
15,BUF,290,12%,4.75,7,21%,4.47,14,46%,4.17,23,15%,3.80,26,6%,5.96,3
16,WAS,349,12%,3.87,25,12%,3.90,21,49%,4.48,15,14%,4.45,15,15%,4.52,15
17,NYJ,356,10%,4.44,17,18%,4.85,9,57%,4.15,25,10%,4.59,13,6%,4.08,22
18,LV,398,6%,6.57,1,9%,2.45,32,67%,4.58,11,11%,3.50,29,8%,3.45,27
19,DET,330,13%,4.32,21,17%,4.09,20,47%,4.59,10,14%,3.89,24,9%,3.78,24
20,IND,409,13%,4.56,14,9%,4.23,15,57%,4.19,22,10%,4.60,11,11%,3.71,25
21,NYG,310,5%,2.71,31,10%,3.85,23,64%,4.53,13,16%,3.94,23,6%,3.17,29
22,SF,396,14%,4.25,22,13%,3.42,27,48%,4.14,26,13%,4.18,19,11%,5.32,10
23,PHI,278,13%,3.58,28,12%,4.09,19,51%,4.45,17,12%,3.61,28,12%,4.47,16
24,MIA,347,4%,5.61,3,9%,3.79,24,74%,4.08,28,8%,5.23,4,5%,3.30,28
25,CHI,271,8%,3.84,26,14%,4.48,13,50%,4.05,29,21%,4.26,17,7%,4.38,19
26,ATL,365,12%,3.60,27,15%,3.88,22,50%,4.14,27,13%,3.78,27,10%,5.42,8
27,HOU,252,7%,3.50,29,11%,4.89,7,66%,4.16,24,12%,2.12,32,5%,5.55,6
28,DEN,371,11%,4.07,24,15%,3.40,28,49%,3.67,32,15%,5.16,5,10%,5.22,12
29,LAC,391,11%,4.35,20,11%,4.18,18,56%,4.00,30,10%,3.88,25,13%,3.63,26
30,ARI,338,10%,1.60,32,9%,3.53,25,65%,4.32,18,8%,3.26,31,8%,4.33,20
31,CIN,332,7%,4.16,23,14%,3.01,30,56%,4.30,20,14%,4.08,21,9%,2.19,32
32,PIT,322,6%,4.44,18,12%,3.19,29,59%,3.78,31,13%,3.27,30,10%,4.76,14
33,NFL,1000,11%,4.40,33,13%,4.24,33,54%,4.41,333,13%,4.40,33,10%,4.57,33

