Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team
BAL,0.000000,1.000000,0.606000,1.000000,0.606000,5.000000,0.233000,5.000000,0.233000,3.000000,-0.311000,3.000000,-0.311000,3.000000,0.062000,3.000000,0.062000,KC,1.000000,10.000000,0.104000,10.000000,0.104000,8.000000,0.157000,8.000000,0.157000,23.000000,0.097000,23.000000,0.097000,5.000000,0.044000,5.000000,0.044000,1.000000
SEA,1.000000,2.000000,0.341000,2.000000,0.341000,2.000000,0.349000,2.000000,0.349000,24.000000,0.099000,24.000000,0.099000,1.000000,0.091000,1.000000,0.091000,DAL,0.000000,14.000000,0.041000,14.000000,0.041000,11.000000,0.069000,11.000000,0.069000,15.000000,-0.008000,15.000000,-0.008000,22.000000,-0.037000,22.000000,-0.037000,1.000000
PIT,1.000000,3.000000,0.324000,3.000000,0.324000,14.000000,-0.011000,14.000000,-0.011000,2.000000,-0.353000,2.000000,-0.353000,19.000000,-0.019000,19.000000,-0.019000,HOU,0.000000,22.000000,-0.154000,22.000000,-0.154000,18.000000,-0.045000,18.000000,-0.045000,25.000000,0.114000,25.000000,0.114000,13.000000,0.005000,13.000000,0.005000,1.000000
GB,1.000000,4.000000,0.255000,4.000000,0.255000,1.000000,0.367000,1.000000,0.367000,26.000000,0.120000,26.000000,0.120000,12.000000,0.008000,12.000000,0.008000,NO,0.000000,7.000000,0.186000,7.000000,0.186000,12.000000,0.065000,12.000000,0.065000,10.000000,-0.068000,10.000000,-0.068000,4.000000,0.053000,4.000000,0.053000,0.000000
LAR,0.000000,5.000000,0.237000,5.000000,0.237000,3.000000,0.308000,3.000000,0.308000,14.000000,-0.014000,14.000000,-0.014000,29.000000,-0.085000,29.000000,-0.085000,BUF,1.000000,6.000000,0.235000,6.000000,0.235000,7.000000,0.207000,7.000000,0.207000,12.000000,-0.050000,12.000000,-0.050000,20.000000,-0.022000,20.000000,-0.022000,0.000000
BUF,1.000000,6.000000,0.235000,6.000000,0.235000,7.000000,0.207000,7.000000,0.207000,12.000000,-0.050000,12.000000,-0.050000,20.000000,-0.022000,20.000000,-0.022000,LAR,0.000000,5.000000,0.237000,5.000000,0.237000,3.000000,0.308000,3.000000,0.308000,14.000000,-0.014000,14.000000,-0.014000,29.000000,-0.085000,29.000000,-0.085000,1.000000
NO,0.000000,7.000000,0.186000,7.000000,0.186000,12.000000,0.065000,12.000000,0.065000,10.000000,-0.068000,10.000000,-0.068000,4.000000,0.053000,4.000000,0.053000,GB,1.000000,4.000000,0.255000,4.000000,0.255000,1.000000,0.367000,1.000000,0.367000,26.000000,0.120000,26.000000,0.120000,12.000000,0.008000,12.000000,0.008000,1.000000
IND,1.000000,8.000000,0.131000,8.000000,0.131000,21.000000,-0.066000,21.000000,-0.066000,5.000000,-0.182000,5.000000,-0.182000,10.000000,0.016000,10.000000,0.016000,NYJ,0.000000,28.000000,-0.272000,28.000000,-0.272000,29.000000,-0.273000,29.000000,-0.273000,11.000000,-0.059000,11.000000,-0.059000,25.000000,-0.057000,25.000000,-0.057000,1.000000
NE,1.000000,9.000000,0.117000,9.000000,0.117000,4.000000,0.275000,4.000000,0.275000,19.000000,0.069000,19.000000,0.069000,30.000000,-0.090000,30.000000,-0.090000,LV,0.000000,20.000000,-0.086000,20.000000,-0.086000,10.000000,0.104000,10.000000,0.104000,30.000000,0.189000,30.000000,0.189000,14.000000,-0.001000,14.000000,-0.001000,1.000000
KC,1.000000,10.000000,0.104000,10.000000,0.104000,8.000000,0.157000,8.000000,0.157000,23.000000,0.097000,23.000000,0.097000,5.000000,0.044000,5.000000,0.044000,BAL,0.000000,1.000000,0.606000,1.000000,0.606000,5.000000,0.233000,5.000000,0.233000,3.000000,-0.311000,3.000000,-0.311000,3.000000,0.062000,3.000000,0.062000,0.000000
